split,run_name,samples,pairs,tick_dt_ms_mean,tick_dt_ms_std,solver_ms_mean,rmse_x,rmse_dx,rmse_theta,rmse_wb,solver_ms_std,collective_below_1n_fraction,state_x_range,state_y_range,state_z_range,state_x_min,state_x_max,state_y_min,state_y_max,state_z_min,state_z_max,control_0_min,control_0_max,control_0_mean,control_0_std,control_0_near_limit_fraction,control_1_min,control_1_max,control_1_mean,control_1_std,control_1_near_limit_fraction,control_2_min,control_2_max,control_2_mean,control_2_std,control_2_near_limit_fraction,control_3_min,control_3_max,control_3_mean,control_3_std,control_3_near_limit_fraction
train,3-31-26_1120_4,2401,2400,9.995812471886714,0.22640901402930294,0.38342819700686875,0.0027476457023664982,0.030656118003171487,0.006344682995678269,0.02896759748791991,0.09027600329974285,0.0,0.1882518231868744,0.24803490936756134,0.8545241057872772,-0.05329826474189758,0.1349535584449768,-0.1363842785358429,0.11165063083171844,-0.013977378606796265,0.840546727180481,41.91834495527382,60.98524453077903,51.18153033923185,4.981931932773345,0.006247396917950854,-0.11114841344090345,0.1039798390636805,-0.00023560693711291217,0.024179655496431356,0.0,-0.049810273093737145,0.04833622569132699,-0.00027590046634778107,0.013255319747217631,0.0,-0.6,0.6,0.012863544225161783,0.22148481211460988,0.07080383173677635
train,3-31-26_1120_5,2400,2399,9.995869693333335,0.22552500085414057,0.41372120459679235,0.002214291444861724,0.03570850946590234,0.005542270492149159,0.02662708938646642,0.10132156408317965,0.0,0.24855756014585495,0.301164835691452,0.8295475393533707,-0.11343171447515488,0.13512584567070007,-0.17901836335659027,0.12214647233486176,-0.010578885674476624,0.818968653678894,42.832393397184475,62.0,52.155838077139414,4.936674123834966,0.030416666666666668,-0.07408479963461487,0.08227629759328788,-0.0008576421594206671,0.024206288225515276,0.0,-0.0921036380256049,0.05759905466199215,0.0004112103840418435,0.015593457195877127,0.0,-0.6,0.6,0.0007237317327608098,0.28070534079058196,0.1225
train,3-31-26_1120_6,2400,2399,9.995868368333333,0.23457740193243465,0.4154517558314789,0.0031170748527490676,0.0344197842521604,0.006723679183214888,0.025154338733302122,0.10390814086016134,0.0,0.19945882260799408,0.2753860652446747,0.7894623130559921,-0.09631530940532684,0.10314351320266724,-0.20568689703941345,0.06969916820526123,0.011164382100105286,0.8006266951560974,41.43275264633128,62.0,51.37463386006212,5.213371686892482,0.017083333333333332,-0.08332423449406887,0.13565392677524504,0.0008217726462730206,0.023897898863470067,0.0,-0.03780987624393015,0.0430293292269054,-0.00046403700449313735,0.010938032733178357,0.0,-0.6,0.6,0.00555057464442128,0.2454907422924955,0.08625
train,3-31-26_1540_4,2400,2399,9.995839260416666,0.23010240998661355,0.37760237040098826,0.002444528896896125,0.02080502557058543,0.017456392936908312,0.06822513223714313,0.0975343683454563,0.0,0.48485901951789856,0.09977776929736137,0.8576872944831848,-0.25080329179763794,0.23405572772026062,-0.04843069612979889,0.051347073167562485,-0.04148513078689575,0.8162021636962891,43.115275404846514,54.28058260745094,49.36416069562892,2.3328485826323724,0.0,-0.018701756072359275,0.02526790225888454,-5.1603005977360595e-05,0.005087672756184991,0.0,-0.13711374115548822,0.17294746627309185,0.0011371122372664177,0.029297544247490995,0.0,-0.030500423020456496,0.03272885211907138,-6.243913580575765e-05,0.008469490239057707,0.0
train,3-31-26_1540_5,2401,2400,9.995802803415243,0.22226910176915052,0.40316740564077524,0.00218130086524636,0.021721821417493042,0.016316322110685354,0.05974877273305774,0.09505096230646942,0.0,0.5155515223741531,0.1103261150419712,0.8528271615505219,-0.2115161269903183,0.30403539538383484,-0.07514507323503494,0.035181041806936264,-0.09145590662956238,0.7613712549209595,43.07764180277982,54.081088291409344,49.352786016703966,2.405850497639383,0.0,-0.022712707279730616,0.017761140385756765,-0.0008376854647235687,0.005437264276098755,0.0,-0.16121940418919659,0.1843120473324299,0.0004701650803762894,0.02850415626372623,0.0,-0.024350706530592698,0.026846580187262707,-7.452725688611436e-05,0.007922838615607027,0.0
train,3-31-26_1540_6,2400,2399,9.995789516666667,0.2259067025510562,0.3892403224957282,0.002034671818480453,0.02151400292881635,0.014054571004925992,0.062137483123216285,0.09559803767677544,0.0,0.48109742999076843,0.10569977387785912,0.8467069864273071,-0.18700692057609558,0.29409050941467285,-0.07577700167894363,0.02992277219891548,0.013365685939788818,0.860072672367096,42.474516379428934,54.07732140002994,49.32213702589708,2.478415030359346,0.0,-0.02516501651308624,0.01844722989424581,-0.000554583924517681,0.0053396112573033975,0.0,-0.14042220668493835,0.1746459246371067,0.0006414508823202797,0.028813131955657444,0.0,-0.029706898006170164,0.03043190622687538,-2.2589412018385833e-05,0.008295726786768572,0.0
eval,3-31-26_1120_7,2401,2400,9.995760191170346,0.22721147790634286,0.4181125476968222,0.0023920868662812493,0.040553583699151755,0.010259013498944614,0.034405767131220885,0.09949035946299935,0.0,0.3020738735795021,0.25040195137262344,0.8346083164215088,-0.2042096108198166,0.09786426275968552,-0.046301014721393585,0.20410093665122986,-0.0075157880783081055,0.8270925283432007,42.52658374237299,62.0,51.179177490830796,4.501705742488603,0.03373594335693461,-0.09280979484790039,0.1019299122616599,-0.00020923746748576405,0.025110850152636196,0.0,-0.08055823768188021,0.054876136099769254,-0.0007428605396304667,0.013347634689034708,0.0,-0.48261948369430474,0.6,6.699991137425597e-05,0.16068484655387963,0.0020824656393169513
eval,3-31-26_1540_7,2401,2400,9.995782517284466,0.21887456770559746,0.3766535235381627,0.0024724042046249026,0.02162599379644314,0.015704708064690855,0.06428602929654602,0.08568447576350403,0.0,0.5915108323097229,0.10196270048618317,0.8438656777143478,-0.22006478905677795,0.37144604325294495,-0.0676480382680893,0.03431466221809387,-0.058655545115470886,0.785210132598877,41.72145160075787,54.03439194498842,49.19208387378117,2.694635188128747,0.0,-0.020750610697992326,0.01994290464933944,0.0007449462826637178,0.005189661315581276,0.0,-0.13812052284269744,0.19163018029365408,0.0006596692921540083,0.028689964630959568,0.0,-0.02995557765107363,0.030394837335624397,8.165966483712422e-06,0.008457901953436587,0.0
