step,timestamp_ns,experiment_time_s,reference_index,tick_dt_ms,solver_ms,px4_collective_command_newton,px4_collective_normalized,px4_thrust_body_z,state_raw_0,state_raw_1,state_raw_2,state_raw_3,state_raw_4,state_raw_5,state_raw_6,state_raw_7,state_raw_8,state_raw_9,state_raw_10,state_raw_11,state_raw_12,state_raw_13,state_raw_14,state_raw_15,state_raw_16,state_raw_17,state_used_0,state_used_1,state_used_2,state_used_3,state_used_4,state_used_5,state_used_6,state_used_7,state_used_8,state_used_9,state_used_10,state_used_11,state_used_12,state_used_13,state_used_14,state_used_15,state_used_16,state_used_17,control_raw_0,control_raw_1,control_raw_2,control_raw_3,control_used_0,control_used_1,control_used_2,control_used_3,reference_0,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,reference_11,reference_12,reference_13,reference_14,reference_15,reference_16,reference_17
0,1774977792524736284,0.0,0,0.0,0.5947969984845258,42.86488635100311,0.6913691346935985,-0.6913691346935985,0.009556899778544903,0.032794639468193054,-0.13076084852218628,0.008616097271442413,0.002435190137475729,-0.01625876873731613,0.9947577993297363,-0.10225897325986621,0.00014986626202252717,0.10225907900159381,0.9947571052140598,-0.0011754944865952181,-2.887566939453398e-05,0.0011846574949011118,0.999999297876161,-0.00032492776517756283,-0.000336663331836462,9.834692173171788e-05,0.009556899778544903,0.032794639468193054,-0.13076084852218628,0.008616097271442413,0.002435190137475729,-0.01625876873731613,0.9947577993297363,-0.10225897325986621,0.00014986626202252717,0.10225907900159381,0.9947571052140598,-0.0011754944865952181,-2.887566939453398e-05,0.0011846574949011118,0.999999297876161,-0.00032492776517756283,-0.000336663331836462,9.834692173171788e-05,42.86488635100311,0.004525381136475914,-0.0014544303721085571,-0.00019703076941612917,42.86488635100311,0.004525381136475914,-0.0014544303721085571,-0.00019703076941612917,0.0070842960849404335,0.02640611305832863,-0.12750642001628876,0.0,0.0,0.0,0.9947345507055005,-0.10248499223167282,0.0,0.10248499223167282,0.9947345507055005,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1774977792534746687,0.010010403,10,10.010403,0.3500160019029863,42.870113072016224,0.6914534366454229,-0.6914534366454229,0.009581681340932846,0.03301778435707092,-0.1309046596288681,0.008625993505120277,0.002750704064965248,-0.016383156180381775,0.9947579971845496,-0.10225685712678545,0.00014549244788242266,0.10225695792096201,0.9947572915011026,-0.001185125416923144,-2.3542451329378045e-05,0.001193790626204394,0.9999992871545795,-1.4906690921634436e-05,0.001312226988375187,-0.00023801051429472864,0.009581681340932846,0.03301778435707092,-0.1309046596288681,0.008625993505120277,0.002750704064965248,-0.016383156180381775,0.9947579971845496,-0.10225685712678545,0.00014549244788242266,0.10225695792096201,0.9947572915011026,-0.001185125416923144,-2.3542451329378045e-05,0.001193790626204394,0.9999992871545795,-1.4906690921634436e-05,0.001312226988375187,-0.00023801051429472864,42.870113072016224,0.004563916014117063,-0.0018730338836306694,-0.000148293154500326,42.870113072016224,0.004563916014117063,-0.0018730338836306694,-0.000148293154500326,0.0070842960849404335,0.02640611305832863,-0.12750642001628876,0.0,0.0,0.0,0.9947345507055005,-0.10248499223167282,0.0,0.10248499223167282,0.9947345507055005,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,1774977792544770658,0.020034374,20,10.023971,0.31389899959322065,42.87518705667763,0.6915352751077037,-0.6915352751077037,0.009606986306607723,0.033239759504795074,-0.13105031847953796,0.008663139306008816,0.003033834043890238,-0.016491832211613655,0.9947591860974958,-0.10224536035576515,0.0001458812103664088,0.10224546194906448,0.9947584635236248,-0.001199199690372986,-2.2503949959819247e-05,0.0012078306160902032,0.9999992703191125,-0.0007795946439728141,0.0004717823176179081,0.00018829703913070261,0.009606986306607723,0.033239759504795074,-0.13105031847953796,0.008663139306008816,0.003033834043890238,-0.016491832211613655,0.9947591860974958,-0.10224536035576515,0.0001458812103664088,0.10224546194906448,0.9947584635236248,-0.001199199690372986,-2.2503949959819247e-05,0.0012078306160902032,0.9999992703191125,-0.0007795946439728141,0.0004717823176179081,0.00018829703913070261,42.87518705667763,0.004876146810926782,-0.0016636271672620536,-0.00022150300428354597,42.87518705667763,0.004876146810926782,-0.0016636271672620536,-0.00022150300428354597,0.0070842960849404335,0.02640611305832863,-0.12750642001628876,0.0,0.0,0.0,0.9947345507055005,-0.10248499223167282,0.0,0.10248499223167282,0.9947345507055005,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,1774977792554903764,0.03016748,30,10.133106,0.8039860003918875,42.88063555854044,0.6916231541700071,-0.6916231541700071,0.009632891975343227,0.03346043452620506,-0.13119786977767944,0.008704659529030323,0.0033038121182471514,-0.016625041142106056,0.9947605871566405,-0.10223315216740847,0.00015425712016659682,0.10223326434780922,0.9947598462892349,-0.0012144253799915364,-2.929439799489314e-05,0.0012238325461172359,0.9999992506876787,-0.0008743251673877239,-0.00038950660382397473,0.0008201817399822176,0.009632891975343227,0.03346043452620506,-0.13119786977767944,0.008704659529030323,0.0033038121182471514,-0.016625041142106056,0.9947605871566405,-0.10223315216740847,0.00015425712016659682,0.10223326434780922,0.9947598462892349,-0.0012144253799915364,-2.929439799489314e-05,0.0012238325461172359,0.9999992506876787,-0.0008743251673877239,-0.00038950660382397473,0.0008201817399822176,42.88063555854044,0.005020970863984645,-0.001430246399114683,-0.00032612895809376705,42.88063555854044,0.005020970863984645,-0.001430246399114683,-0.00032612895809376705,0.0070842960849404335,0.02640611305832863,-0.12750642001628876,0.0,0.0,0.0,0.9947345507055005,-0.10248499223167282,0.0,0.10248499223167282,0.9947345507055005,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,1774977792564830263,0.040093979,40,9.926499,0.7096920016920194,42.885527589309405,0.6917020578920872,-0.6917020578920872,0.00965954177081585,0.033679813146591187,-0.13134713470935822,0.008772225119173527,0.003570670261979103,-0.016712071374058723,0.9947622554562732,-0.10221722861959281,0.0001553902269613161,0.10221734252926695,0.9947615010197732,-0.0012254910937063712,-2.9310091648387937e-05,0.0012349556518014282,0.9999992370125518,-0.00021711141744162887,0.0009184811497107148,0.001026273355819285,0.00965954177081585,0.033679813146591187,-0.13134713470935822,0.008772225119173527,0.003570670261979103,-0.016712071374058723,0.9947622554562732,-0.10221722861959281,0.0001553902269613161,0.10221734252926695,0.9947615010197732,-0.0012254910937063712,-2.9310091648387937e-05,0.0012349556518014282,0.9999992370125518,-0.00021711141744162887,0.0009184811497107148,0.001026273355819285,42.885527589309405,0.004967256538755565,-0.0017627939477667894,-0.00036986988063283645,42.885527589309405,0.004967256538755565,-0.0017627939477667894,-0.00036986988063283645,0.0070842960849404335,0.02640611305832863,-0.12750642001628876,0.0,0.0,0.0,0.9947345507055005,-0.10248499223167282,0.0,0.10248499223167282,0.9947345507055005,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,1774977792574767988,0.050031704,50,9.937725,0.4997910000383854,42.89517891932952,0.6918577245053148,-0.6918577245053148,0.009670821018517017,0.034139007329940796,-0.13163882493972778,0.00877931248396635,0.004112649708986282,-0.01690249890089035,0.9947636392891555,-0.1022035966928625,0.00018339661028745138,0.10220374633737972,0.9947628616913617,-0.001245029050946981,-5.518985551095437e-05,0.0012572532498329632,0.9999992081339695,0.0005212395917624235,-0.0008226871723309159,-9.407156176166609e-05,0.009670821018517017,0.034139007329940796,-0.13163882493972778,0.00877931248396635,0.004112649708986282,-0.01690249890089035,0.9947636392891555,-0.1022035966928625,0.00018339661028745138,0.10220374633737972,0.9947628616913617,-0.001245029050946981,-5.518985551095437e-05,0.0012572532498329632,0.9999992081339695,0.0005212395917624235,-0.0008226871723309159,-9.407156176166609e-05,42.89517891932952,0.004998183188466703,-0.0012427253112742558,-0.00021279996293211288,42.89517891932952,0.004998183188466703,-0.0012427253112742558,-0.00021279996293211288,0.0070842960849404335,0.02640611305832863,-0.12750642001628876,0.0,0.0,0.0,0.9947345507055005,-0.10248499223167282,0.0,0.10248499223167282,0.9947345507055005,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,1774977792584753730,0.060017446,60,9.985742,0.4353669974079821,42.90110776854794,0.6919533511056118,-0.6919533511056118,0.00967739149928093,0.03436662256717682,-0.1317875236272812,0.008753358386456966,0.004384917672723532,-0.017068322747945786,0.9947646484766947,-0.1021938632233721,0.0001881909453346764,0.1021940192751607,0.9947638633194574,-0.0012512447774909452,-5.933619095715992e-05,0.0012639258449557156,0.9999991994851357,-6.079860031604767e-05,0.0010546022094786167,-0.00013799677253700793,0.00967739149928093,0.03436662256717682,-0.1317875236272812,0.008753358386456966,0.004384917672723532,-0.017068322747945786,0.9947646484766947,-0.1021938632233721,0.0001881909453346764,0.1021940192751607,0.9947638633194574,-0.0012512447774909452,-5.933619095715992e-05,0.0012639258449557156,0.9999991994851357,-6.079860031604767e-05,0.0010546022094786167,-0.00013799677253700793,42.90110776854794,0.0052419046012866085,-0.0016868133337871662,-0.00021404750937070158,42.90110776854794,0.0052419046012866085,-0.0016868133337871662,-0.00021404750937070158,0.0070842960849404335,0.02640611305832863,-0.12750642001628876,0.0,0.0,0.0,0.9947345507055005,-0.10248499223167282,0.0,0.10248499223167282,0.9947345507055005,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,1774977792594708476,0.069972192,69,9.954746,0.43716700020013377,42.90634976494042,0.692037899434523,-0.692037899434523,0.009684567339718342,0.0345926359295845,-0.13193827867507935,0.008766405284404755,0.004589706193655729,-0.017177071422338486,0.9947651520014609,-0.10218908781355007,0.000191086764777873,0.10218924804026597,0.9947643565415683,-0.0012595071507065514,-6.137860809091178e-05,0.00127244060011579,0.9999991885635938,5.440210225060582e-05,0.00032425287645310163,-0.00027164712082594633,0.009684567339718342,0.0345926359295845,-0.13193827867507935,0.008766405284404755,0.004589706193655729,-0.017177071422338486,0.9947651520014609,-0.10218908781355007,0.000191086764777873,0.10218924804026597,0.9947643565415683,-0.0012595071507065514,-6.137860809091178e-05,0.00127244060011579,0.9999991885635938,5.440210225060582e-05,0.00032425287645310163,-0.00027164712082594633,42.90634976494042,0.0053035008212481095,-0.001493111916319916,-0.00019785189833211527,42.90634976494042,0.0053035008212481095,-0.001493111916319916,-0.00019785189833211527,0.0070842960849404335,0.02640611305832863,-0.12750642001628876,0.0,0.0,0.0,0.9947345507055005,-0.10248499223167282,0.0,0.10248499223167282,0.9947345507055005,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,1774977792604887016,0.080150732,80,10.17854,0.4428350002854131,42.91604139645836,0.692194216071909,-0.692194216071909,0.009636931121349335,0.035080406814813614,-0.13226158916950226,0.00872169528156519,0.005182983819395304,-0.017309756949543953,0.9947664209076449,-0.1021759948377221,0.00020308212673894946,0.10217617165726556,0.9947656030201487,-0.001277623689658624,-7.147675619230756e-05,0.0012916871586812172,0.9999991632174073,-0.00021621998166665435,-0.0004283422022126615,0.0004880929773207754,0.009636931121349335,0.035080406814813614,-0.13226158916950226,0.00872169528156519,0.005182983819395304,-0.017309756949543953,0.9947664209076449,-0.1021759948377221,0.00020308212673894946,0.10217617165726556,0.9947656030201487,-0.001277623689658624,-7.147675619230756e-05,0.0012916871586812172,0.9999991632174073,-0.00021621998166665435,-0.0004283422022126615,0.0004880929773207754,42.91604139645836,0.0055950875752939335,-0.0012409550398317067,-0.000322353460791707,42.91604139645836,0.0055950875752939335,-0.0012409550398317067,-0.000322353460791707,0.0070842960849404335,0.02640611305832863,-0.12750642001628876,0.0,0.0,0.0,0.9947345507055005,-0.10248499223167282,0.0,0.10248499223167282,0.9947345507055005,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,1774977792614711967,0.089975683,89,9.824951,0.5034779969719239,42.921681535283746,0.6922851860529636,-0.6922851860529636,0.009614462032914162,0.03532226383686066,-0.13242511451244354,0.00867438968271017,0.005489145405590534,-0.017424050718545914,0.9947669167028964,-0.1021713992609441,0.00020213358576750412,0.10217157551366518,0.9947660866387521,-0.0012869662124290228,-6.958463778100263e-05,0.0013008835446011377,0.9999991514297286,-0.0005869255401194096,0.0017152397194877267,-0.0010133447358384728,0.009614462032914162,0.03532226383686066,-0.13242511451244354,0.00867438968271017,0.005489145405590534,-0.017424050718545914,0.9947669167028964,-0.1021713992609441,0.00020213358576750412,0.10217157551366518,0.9947660866387521,-0.0012869662124290228,-6.958463778100263e-05,0.0013008835446011377,0.9999991514297286,-0.0005869255401194096,0.0017152397194877267,-0.0010133447358384728,42.921681535283746,0.0058014533947733475,-0.001757206050501726,-0.0001008461158391685,42.921681535283746,0.0058014533947733475,-0.001757206050501726,-0.0001008461158391685,0.0070842960849404335,0.02640611305832863,-0.12750642001628876,0.0,0.0,0.0,0.9947345507055005,-0.10248499223167282,0.0,0.10248499223167282,0.9947345507055005,0.0,0.0,0.0,1.0,0.0,0.0,0.0
