t_s,x_ref,y_ref,z_ref,x_mpc,y_mpc,z_mpc
0.001,0.0,0.0,1.0,-7.209769152165974e-14,1.280542790752057e-13,0.999995105534557
0.002,0.0,0.0,1.0,-1.1167989727881605e-12,1.995281177031545e-12,0.9999804354212164
0.003,0.0,0.0,1.0,-5.222870460896132e-12,9.47892216681218e-12,0.9999560175753331
0.004,0.0,0.0,1.0,-1.49954775566046e-11,2.783991058105166e-11,0.9999218812076583
0.005,0.0,0.0,1.0,-3.2936369988055205e-11,6.299045071337877e-11,0.999878054020166
0.006,0.0,0.0,1.0,-6.095650703597041e-11,1.2100409850944172e-10,0.9998245629248218
0.007,0.0,0.0,1.0,-9.998918629411005e-11,2.0778958353887548e-10,0.9997614361574373
0.008,0.0,0.0,1.0,-1.4967925259555368e-10,3.2887504529664274e-10,0.9996887032680348
0.009000000000000001,0.0,0.0,1.0,-2.0813007684957444e-10,4.892669029742118e-10,0.999606395113088
0.010000000000000002,0.0,0.0,1.0,-2.716944408287717e-10,6.933591905887462e-10,0.9995145438478262
0.011000000000000003,0.0,0.0,1.0,-3.347988165638409e-10,9.448770151859212e-10,0.9994131829185297
0.012000000000000004,0.0,0.0,1.0,-3.897930726626843e-10,1.2468430886478872e-09,0.9993023470547658
0.013000000000000005,0.0,0.0,1.0,-4.2681956938584495e-10,1.601559863085353e-09,0.9991820722615368
0.014000000000000005,0.0,0.0,1.0,-4.336970676790564e-10,2.010602220316381e-09,0.9990523958113147
0.015000000000000006,0.0,0.0,1.0,-3.958159870058253e-10,2.4748173026037184e-09,0.9989133562359519
0.016000000000000007,0.0,0.0,1.0,-2.960423881050468e-10,2.9943291783534345e-09,0.998764993318456
0.017000000000000008,0.0,0.0,1.0,-1.1462869452540124e-10,3.568546784489184e-09,0.9986073480846223
0.01800000000000001,0.0,0.0,1.0,1.708703498576404e-10,4.1961740927895634e-09,0.9984404627945209
0.01900000000000001,0.0,0.0,1.0,5.856776238371314e-10,4.87522178912225e-09,0.9982643809338364
0.02000000000000001,0.0,0.0,1.0,1.1578703313234024e-09,5.603019985325871e-09,0.998079147205057
