bits,mode,run_index,trial_seed,e_A,e_B,e_pred,e_MPC
8,dithered,1,2149445,0.872416310892889,3.86295523320858,0.0732857795741625,0.779349732390101
8,standard,0,NaN,0.834996521852773,4.02999741439015,0.0774469380728645,0.596748663828324
12,dithered,1,2153445,0.123305253083442,0.0341599360052666,0.018669560621932,0.0185275638977632
12,standard,0,NaN,0.115115253929287,0.0281453774115219,0.0193069021521601,0.0338570361219611
16,dithered,1,2157445,0.00161704941898443,0.00281263395997369,0.0198241431382974,0.0732027675697876
16,standard,0,NaN,0.00187629813001525,0.0013626966826814,0.0198292187996447,0.0725103211336975
