bits,dither_mean_e_A,dither_std_e_A,standard_mean_e_A,standard_std_e_A,dither_mean_e_B,dither_std_e_B,standard_mean_e_B,standard_std_e_B,dither_mean_e_pred,dither_std_e_pred,standard_mean_e_pred,standard_std_e_pred,dither_mean_e_MPC,dither_std_e_MPC,standard_mean_e_MPC,standard_std_e_MPC
8,0.872416310892889,0,0.834996521852773,0,3.86295523320858,0,4.02999741439015,0,0.0732857795741625,0,0.0774469380728645,0,0.779349732390101,0,0.596748663828324,0
12,0.123305253083442,0,0.115115253929287,0,0.0341599360052666,0,0.0281453774115219,0,0.018669560621932,0,0.0193069021521601,0,0.0185275638977632,0,0.0338570361219611,0
16,0.00161704941898443,0,0.00187629813001525,0,0.00281263395997369,0,0.0013626966826814,0,0.0198241431382974,0,0.0198292187996447,0,0.0732027675697876,0,0.0725103211336975,0
