t_s,Fb_mean,Mbx_mean,Mby_mean,Mbz_mean,Fb_std,Mbx_std,Mby_std,Mbz_std
0.001,0.03202505315017211,0.07240533846086052,0.11688773179987708,0.16120602178043095,0.0,0.0,0.0,0.0
0.002,-0.010888451433731742,-0.0063319260267565335,-0.003264228656273499,-0.0012091246689536809,0.0,0.0,0.0,0.0
0.003,-0.008094873044656956,-0.003967130634901393,-0.0007316547469621745,0.0018020978804658145,0.0,0.0,0.0,0.0
0.004,-0.006971634384763108,-0.006053200719716677,-0.005207672197055545,-0.004474328285673653,0.0,0.0,0.0,0.0
