step,timestamp_ns,experiment_time_s,reference_index,tick_dt_ms,solver_ms,px4_collective_command_newton,px4_collective_normalized,px4_thrust_body_z,state_raw_0,state_raw_1,state_raw_2,state_raw_3,state_raw_4,state_raw_5,state_raw_6,state_raw_7,state_raw_8,state_raw_9,state_raw_10,state_raw_11,state_raw_12,state_raw_13,state_raw_14,state_raw_15,state_raw_16,state_raw_17,state_used_0,state_used_1,state_used_2,state_used_3,state_used_4,state_used_5,state_used_6,state_used_7,state_used_8,state_used_9,state_used_10,state_used_11,state_used_12,state_used_13,state_used_14,state_used_15,state_used_16,state_used_17,control_raw_0,control_raw_1,control_raw_2,control_raw_3,control_used_0,control_used_1,control_used_2,control_used_3,reference_0,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,reference_11,reference_12,reference_13,reference_14,reference_15,reference_16,reference_17
0,1774965537686067149,0.0,0,0.0,0.412354000218329,42.9198535221297,0.6922557019698339,-0.6922557019698339,0.013161747716367245,0.028629949316382408,-0.016228318214416504,0.009311627596616745,0.010355205275118351,-0.01602526567876339,0.9945076167955386,-0.10466506234229156,0.000128092069932563,0.10466511155561342,0.9945075085493108,-0.00047054132416962137,-7.813932232563804e-05,0.00048136364885333766,0.9999998810916452,4.556521162157878e-05,-0.0004788608639501035,1.1176323823747225e-05,0.013161747716367245,0.028629949316382408,-0.016228318214416504,0.009311627596616745,0.010355205275118351,-0.01602526567876339,0.9945076167955386,-0.10466506234229156,0.000128092069932563,0.10466511155561342,0.9945075085493108,-0.00047054132416962137,-7.813932232563804e-05,0.00048136364885333766,0.9999998810916452,4.556521162157878e-05,-0.0004788608639501035,1.1176323823747225e-05,42.9198535221297,0.003489039551022076,-0.0014992132212052161,2.5783110949313715e-05,42.9198535221297,0.003489039551022076,-0.0014992132212052161,2.5783110949313715e-05,0.01087893545627594,0.02851777710020542,-0.010550543665885925,0.0,0.0,0.0,0.9945111815939787,-0.1046303478181562,0.0,0.1046303478181562,0.9945111815939787,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1774965537696079987,0.010012838,10,10.012838,0.376827000764024,42.93039206187994,0.6924256784174184,-0.6924256784174184,0.013258956372737885,0.028603989630937576,-0.016595378518104553,0.00928792916238308,0.010195444338023663,-0.01613745652139187,0.9945081456297084,-0.10465974447653825,0.00013199290482047293,0.10465979493767441,0.9945080413568809,-0.0004628822450808631,-8.282289033317153e-05,0.00047415447753965806,0.9999998841589504,0.00020773024880327284,-0.0009647393599152565,4.882743814960122e-05,0.013258956372737885,0.028603989630937576,-0.016595378518104553,0.00928792916238308,0.010195444338023663,-0.01613745652139187,0.9945081456297084,-0.10465974447653825,0.00013199290482047293,0.10465979493767441,0.9945080413568809,-0.0004628822450808631,-8.282289033317153e-05,0.00047415447753965806,0.9999998841589504,0.00020773024880327284,-0.0009647393599152565,4.882743814960122e-05,42.93039206187994,0.0033941693815473513,-0.0013786937216240759,1.5863797431687178e-05,42.93039206187994,0.0033941693815473513,-0.0013786937216240759,1.5863797431687178e-05,0.01087893545627594,0.02851777710020542,-0.010550543665885925,0.0,0.0,0.0,0.9945111815939787,-0.1046303478181562,0.0,0.1046303478181562,0.9945111815939787,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,1774965537706177254,0.020110105,20,10.097267,0.46568600009777583,42.930709938953285,0.6924308054669884,-0.6924308054669884,0.013258956372737885,0.028603989630937576,-0.016595378518104553,0.00928792916238308,0.010195444338023663,-0.01613745652139187,0.9945081456297084,-0.10465974447653825,0.00013199290482047293,0.10465979493767441,0.9945080413568809,-0.0004628822450808631,-8.282289033317153e-05,0.00047415447753965806,0.9999998841589504,0.00020773024880327284,-0.0009647393599152565,4.882743814960122e-05,0.013258956372737885,0.028603989630937576,-0.016595378518104553,0.00928792916238308,0.010195444338023663,-0.01613745652139187,0.9945081456297084,-0.10465974447653825,0.00013199290482047293,0.10465979493767441,0.9945080413568809,-0.0004628822450808631,-8.282289033317153e-05,0.00047415447753965806,0.9999998841589504,0.00020773024880327284,-0.0009647393599152565,4.882743814960122e-05,42.930709938953285,0.0033941524336409813,-0.001378679284196721,1.5863803088851585e-05,42.930709938953285,0.0033941524336409813,-0.001378679284196721,1.5863803088851585e-05,0.01087893545627594,0.02851777710020542,-0.010550543665885925,0.0,0.0,0.0,0.9945111815939787,-0.1046303478181562,0.0,0.1046303478181562,0.9945111815939787,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,1774965537716074341,0.030007192,30,9.897087,0.4346449995864532,42.94322721912445,0.6926326970826524,-0.6926326970826524,0.013359037227928638,0.02850249595940113,-0.017021894454956055,0.009139553643763065,0.009846881031990051,-0.01629113405942917,0.9945078842582319,-0.10466310691356506,0.00013409797630495844,0.10466315658074477,0.9945077898298195,-0.0004420466362412695,-8.709555841977107e-05,0.0004536538984345386,0.9999998933062616,0.00040899557643570006,0.0013701802818104625,-0.00014573149383068085,0.013359037227928638,0.02850249595940113,-0.017021894454956055,0.009139553643763065,0.009846881031990051,-0.01629113405942917,0.9945078842582319,-0.10466310691356506,0.00013409797630495844,0.10466315658074477,0.9945077898298195,-0.0004420466362412695,-8.709555841977107e-05,0.0004536538984345386,0.9999998933062616,0.00040899557643570006,0.0013701802818104625,-0.00014573149383068085,42.94322721912445,0.0032064420405585156,-0.0019480339401283808,4.776600962213086e-05,42.94322721912445,0.0032064420405585156,-0.0019480339401283808,4.776600962213086e-05,0.01087893545627594,0.02851777710020542,-0.010550543665885925,0.0,0.0,0.0,0.9945111815939787,-0.1046303478181562,0.0,0.1046303478181562,0.9945111815939787,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,1774965537726172500,0.040105351,40,10.098159,0.513035000039963,42.94356755526989,0.6926381863753207,-0.6926381863753207,0.013359037227928638,0.02850249595940113,-0.017021894454956055,0.009139553643763065,0.009846881031990051,-0.01629113405942917,0.9945078842582319,-0.10466310691356506,0.00013409797630495844,0.10466315658074477,0.9945077898298195,-0.0004420466362412695,-8.709555841977107e-05,0.0004536538984345386,0.9999998933062616,0.00040899557643570006,0.0013701802818104625,-0.00014573149383068085,0.013359037227928638,0.02850249595940113,-0.017021894454956055,0.009139553643763065,0.009846881031990051,-0.01629113405942917,0.9945078842582319,-0.10466310691356506,0.00013409797630495844,0.10466315658074477,0.9945077898298195,-0.0004420466362412695,-8.709555841977107e-05,0.0004536538984345386,0.9999998933062616,0.00040899557643570006,0.0013701802818104625,-0.00014573149383068085,42.94356755526989,0.0032064245767894598,-0.001948018559585406,4.776601542304212e-05,42.94356755526989,0.0032064245767894598,-0.001948018559585406,4.776601542304212e-05,0.01087893545627594,0.02851777710020542,-0.010550543665885925,0.0,0.0,0.0,0.9945111815939787,-0.1046303478181562,0.0,0.1046303478181562,0.9945111815939787,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,1774965537736074491,0.050007342,50,9.901991,0.3657630004454404,42.95004624824786,0.6927426814233526,-0.6927426814233526,0.013424646109342575,0.02841738611459732,-0.01726667582988739,0.009018510580062866,0.009585067629814148,-0.01631324179470539,0.9945088882620522,-0.10465353544189404,0.00013101609157135756,0.10465358188778695,0.9945088030553481,-0.00042062027412499963,-8.627730432705667e-05,0.00043202182585337125,0.9999999029566932,0.000886603316757828,0.000547122152056545,0.00026166715542785823,0.013424646109342575,0.02841738611459732,-0.01726667582988739,0.009018510580062866,0.009585067629814148,-0.01631324179470539,0.9945088882620522,-0.10465353544189404,0.00013101609157135756,0.10465358188778695,0.9945088030553481,-0.00042062027412499963,-8.627730432705667e-05,0.00043202182585337125,0.9999999029566932,0.000886603316757828,0.000547122152056545,0.00026166715542785823,42.95004624824786,0.002968127291260956,-0.0017402623465038699,-2.1025612720198705e-05,42.95004624824786,0.002968127291260956,-0.0017402623465038699,-2.1025612720198705e-05,0.01087893545627594,0.02851777710020542,-0.010550543665885925,0.0,0.0,0.0,0.9945111815939787,-0.1046303478181562,0.0,0.1046303478181562,0.9945111815939787,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,1774965537746202594,0.060135445,60,10.128103,0.31317400043917587,42.95040050511417,0.6927483952437768,-0.6927483952437768,0.013424646109342575,0.02841738611459732,-0.01726667582988739,0.009018510580062866,0.009585067629814148,-0.01631324179470539,0.9945088882620522,-0.10465353544189404,0.00013101609157135756,0.10465358188778695,0.9945088030553481,-0.00042062027412499963,-8.627730432705667e-05,0.00043202182585337125,0.9999999029566932,0.000886603316757828,0.000547122152056545,0.00026166715542785823,0.013424646109342575,0.02841738611459732,-0.01726667582988739,0.009018510580062866,0.009585067629814148,-0.01631324179470539,0.9945088882620522,-0.10465353544189404,0.00013101609157135756,0.10465358188778695,0.9945088030553481,-0.00042062027412499963,-8.627730432705667e-05,0.00043202182585337125,0.9999999029566932,0.000886603316757828,0.000547122152056545,0.00026166715542785823,42.95040050511417,0.00296810965518401,-0.001740246419585867,-2.1025606919441447e-05,42.95040050511417,0.00296810965518401,-0.001740246419585867,-2.1025606919441447e-05,0.01087893545627594,0.02851777710020542,-0.010550543665885925,0.0,0.0,0.0,0.9945111815939787,-0.1046303478181562,0.0,0.1046303478181562,0.9945111815939787,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,1774965537756076407,0.070009258,70,9.873813,0.3450980002526194,42.959920470140496,0.6929019430667822,-0.6929019430667822,0.01352357305586338,0.028265193104743958,-0.017598450183868408,0.009003306739032269,0.009294671006500721,-0.016408158466219902,0.9945085899503607,-0.10465583355138675,0.00013669957559398274,0.10465587976073776,0.9945085173074193,-0.00039179417682772867,-9.494537264324344e-05,0.000403949040322326,0.9999999139052785,0.0001121579043683596,-0.000658398203086108,-0.0008811608422547579,0.01352357305586338,0.028265193104743958,-0.017598450183868408,0.009003306739032269,0.009294671006500721,-0.016408158466219902,0.9945085899503607,-0.10465583355138675,0.00013669957559398274,0.10465587976073776,0.9945085173074193,-0.00039179417682772867,-9.494537264324344e-05,0.000403949040322326,0.9999999139052785,0.0001121579043683596,-0.000658398203086108,-0.0008811608422547579,42.959920470140496,0.003012728491192451,-0.0014417292181339973,0.0001522647715228465,42.959920470140496,0.003012728491192451,-0.0014417292181339973,0.0001522647715228465,0.01087893545627594,0.02851777710020542,-0.010550543665885925,0.0,0.0,0.0,0.9945111815939787,-0.1046303478181562,0.0,0.1046303478181562,0.9945111815939787,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,1774965537766169878,0.080102729,80,10.093471,0.29515900041587884,42.96029095597958,0.6929079186448319,-0.6929079186448319,0.01352357305586338,0.028265193104743958,-0.017598450183868408,0.009003306739032269,0.009294671006500721,-0.016408158466219902,0.9945085899503607,-0.10465583355138675,0.00013669957559398274,0.10465587976073776,0.9945085173074193,-0.00039179417682772867,-9.494537264324344e-05,0.000403949040322326,0.9999999139052785,0.0001121579043683596,-0.000658398203086108,-0.0008811608422547579,0.01352357305586338,0.028265193104743958,-0.017598450183868408,0.009003306739032269,0.009294671006500721,-0.016408158466219902,0.9945085899503607,-0.10465583355138675,0.00013669957559398274,0.10465587976073776,0.9945085173074193,-0.00039179417682772867,-9.494537264324344e-05,0.000403949040322326,0.9999999139052785,0.0001121579043683596,-0.000658398203086108,-0.0008811608422547579,42.96029095597958,0.0030127107151988615,-0.0014417124181729745,0.00015226477739739647,42.96029095597958,0.0030127107151988615,-0.0014417124181729745,0.00015226477739739647,0.01087893545627594,0.02851777710020542,-0.010550543665885925,0.0,0.0,0.0,0.9945111815939787,-0.1046303478181562,0.0,0.1046303478181562,0.9945111815939787,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,1774965537776102003,0.090034854,90,9.932125,0.46416900022450136,42.9662951510254,0.6930047605004097,-0.6930047605004097,0.013610262423753738,0.028072213754057884,-0.017853528261184692,0.008933537639677525,0.008799288421869278,-0.01637248694896698,0.994509230394353,-0.10464998278701332,0.00013184258653364464,0.10465002436311233,0.9945091686462642,-0.00036262747231364037,-9.31697323470447e-05,0.00037443364201797044,0.9999999255594298,0.0002037699887296185,-0.0002390577137703076,-0.00038103736005723476,0.013610262423753738,0.028072213754057884,-0.017853528261184692,0.008933537639677525,0.008799288421869278,-0.01637248694896698,0.994509230394353,-0.10464998278701332,0.00013184258653364464,0.10465002436311233,0.9945091686462642,-0.00036262747231364037,-9.31697323470447e-05,0.00037443364201797044,0.9999999255594298,0.0002037699887296185,-0.0002390577137703076,-0.00038103736005723476,42.9662951510254,0.002792481505567968,-0.0015683115186748242,7.256256580855863e-05,42.9662951510254,0.002792481505567968,-0.0015683115186748242,7.256256580855863e-05,0.01087893545627594,0.02851777710020542,-0.010550543665885925,0.0,0.0,0.0,0.9945111815939787,-0.1046303478181562,0.0,0.1046303478181562,0.9945111815939787,0.0,0.0,0.0,1.0,0.0,0.0,0.0
