step,experiment_time_s,replay_horizon_steps,one_step_error_x,one_step_error_dx,one_step_error_theta,one_step_error_wb,replay_error_x,replay_error_dx,replay_error_theta,replay_error_wb,control_internal_0,control_internal_near_lower_0,control_internal_near_upper_0,control_internal_1,control_internal_near_lower_1,control_internal_near_upper_1,control_internal_2,control_internal_near_lower_2,control_internal_near_upper_2,control_internal_3,control_internal_near_lower_3,control_internal_near_upper_3
0,0.033350591,10,0.00011228687568513076,0.0053316718556652215,9.619317922141262e-05,0.0017639564821280043,0.009531763901994212,0.0456308242805124,0.0008790987323171149,0.011668055916442205,-0.1655028792088219,False,False,-0.00617822913088137,False,False,0.014069303932096626,False,False,0.00014807433568843497,False,False
1,0.041375414,10,0.0003381454681953038,0.004933361414857199,9.467034916525487e-05,0.0010159159812467118,0.009712226207640413,0.0448777689527147,0.000852677564709896,0.01057190270112544,-0.27639606410773815,False,False,-0.00590239440733168,False,False,0.01627212944126278,False,False,3.2365059137703184e-05,False,False
2,0.060063479,10,0.00128231905544984,0.004817074643199973,0.00010531731581414882,0.0021122409417118084,0.009690814117093402,0.04433945836470388,0.0009182339600358112,0.010825040600133071,-0.36490373777073265,False,False,-0.0071154069847754395,False,False,0.01718002252239638,False,False,-0.00023620087511609834,False,False
3,0.13645411,10,7.667733402682264e-05,0.004394350661630889,9.572015033648312e-05,0.0012061834427531948,0.009903185950900234,0.044756856041124976,0.000954287892983597,0.009429162735826514,-0.40945834120984276,False,False,-0.0058868605835728765,False,False,0.01724879986424963,False,False,-0.0004912086359018132,False,False
4,0.167026035,10,0.0008154733657301326,0.0045728603807982824,8.25831534940756e-05,0.0009086116463310154,0.011264167775170395,0.045602336778636496,0.0009832339825723586,0.01027454487449475,-0.43929683585019036,False,False,-0.0055041895343342865,False,False,0.01748434395799392,False,False,-0.0005543809074954431,False,False
5,0.188266045,10,0.0005746532281399257,0.004319248350967559,8.859740379400337e-05,0.0018765860405054414,0.010773142680840082,0.045555060830443514,0.00092973194247989,0.011412079156490097,-0.46430716855212384,False,False,-0.007579448120330076,False,False,0.019245025964458533,False,False,-0.0003991829050079237,False,False
6,0.200771702,10,0.0005641799315261561,0.004271293128526655,8.826855521478867e-05,0.0003190565379402517,0.010823698585614433,0.046183565002642764,0.0009220350214689135,0.011615012388104144,-0.47361495376727064,False,False,-0.00692987330152563,False,False,0.018186347403718012,False,False,-0.00041419485975662933,False,False
7,0.220134013,10,0.0034923891807280296,0.005424857227321488,0.00012872459166747937,0.002654340463638159,0.013934939903645008,0.04777536320509486,0.0009862081981240666,0.012174843794030768,-0.47838441615735655,False,False,-0.008227704649805703,False,False,0.020497488535080866,False,False,-0.0004025906268930512,False,False
8,0.253328771,10,4.349430768448995e-05,0.004318452372329342,9.242783781976975e-05,0.0012491583594887894,0.011610304885140303,0.048436798235199974,0.0010474630309366038,0.01268605697916587,-0.4402938724654293,False,False,-0.007536268938434921,False,False,0.019913794486181035,False,False,-0.0007471503905944816,False,False
9,0.296040649,10,0.0005965586719382885,0.004521049412593409,9.936849841458001e-05,0.0017601593897988619,0.011659141479607645,0.049325242473205196,0.001055578710549689,0.013467987326432502,-0.41482978049922953,False,False,-0.007671260703482795,False,False,0.01966680578878538,False,False,-0.0007529317710008824,False,False
