step,experiment_time_s,divergence_time_s,baseline_z_error_integral,lateral_position_residual_x,lateral_position_residual_y,lateral_position_residual_norm,lateral_velocity_residual_x,lateral_velocity_residual_y,lateral_velocity_residual_norm,learned_control_0,raw_control_0,used_control_0,baseline_control_0,control_internal_0,control_internal_near_lower_0,control_internal_near_upper_0,control_internal_near_bound_0,learned_control_1,raw_control_1,used_control_1,baseline_control_1,control_internal_1,control_internal_near_lower_1,control_internal_near_upper_1,control_internal_near_bound_1,learned_control_2,raw_control_2,used_control_2,baseline_control_2,control_internal_2,control_internal_near_lower_2,control_internal_near_upper_2,control_internal_near_bound_2,learned_control_3,raw_control_3,used_control_3,baseline_control_3,control_internal_3,control_internal_near_lower_3,control_internal_near_upper_3,control_internal_near_bound_3,u1_active_threshold_nm,u1_baseline_active,u1_raw_active,u1_used_active,u1_raw_overlap_active,u1_used_overlap_active,u1_raw_sign_match,u1_used_sign_match,u1_raw_magnitude_ratio,u1_used_magnitude_ratio,u1_anchor_applied,u1_anchor_delta,u1_anchor_sign_flip,u2_active_threshold_nm,u2_baseline_active,u2_raw_active,u2_used_active,u2_raw_overlap_active,u2_used_overlap_active,u2_raw_sign_match,u2_used_sign_match,u2_raw_magnitude_ratio,u2_used_magnitude_ratio,u2_anchor_applied,u2_anchor_delta,u2_anchor_sign_flip,u3_active_threshold_nm,u3_baseline_active,u3_raw_active,u3_used_active,u3_raw_overlap_active,u3_used_overlap_active,u3_raw_sign_match,u3_used_sign_match,u3_raw_magnitude_ratio,u3_used_magnitude_ratio,u3_anchor_applied,u3_anchor_delta,u3_anchor_sign_flip
0,0.0,3.462195307,0.0002548298354023695,-0.011085400357842445,-0.0021818168461322784,0.011298071775472132,0.0024241094943135977,0.0009226437541656196,0.0025937575710775584,49.49550843633346,49.49550843633346,49.49550843633346,42.90788256080229,-0.1655028792088219,False,False,False,-9.476729296218432e-05,-9.476729296218432e-05,-9.476729296218432e-05,0.0010999470550475572,-0.00617822913088137,False,False,False,0.0010865633253095094,0.0010865633253095094,0.0010865633253095094,-0.0005729929891801517,0.014069303932096626,False,False,False,-0.002916994927121611,-0.002916994927121611,-0.002916994927121611,0.00020339401150925123,0.00014807433568843497,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
1,0.033350591,3.462195307,0.0005919393996313214,-0.011085400357842445,-0.0021818168461322784,0.011298071775472132,0.0024241094943135977,0.0009226437541656196,0.0025937575710775584,49.066036030454185,49.066036030454185,49.066036030454185,42.90963822734331,-0.27639606410773815,False,False,False,-8.429971765425108e-05,-8.429971765425108e-05,-8.429971765425108e-05,0.0010999395425191317,-0.00590239440733168,False,False,False,0.0012006549203532402,0.0012006549203532402,0.0012006549203532402,-0.0005729562904423894,0.01627212944126278,False,False,False,-0.0029240397527853968,-0.0029240397527853968,-0.0029240397527853968,0.00020339401403613467,3.2365059137703184e-05,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
2,0.041375414,3.462195307,0.0006739429754788279,-0.01129840686917305,-0.0021503474563360214,0.011501216977535358,0.0022395967971533537,0.0008498174720443785,0.0023954088481116242,48.723259298218814,48.723259298218814,48.723259298218814,42.913166622850056,-0.36490373777073265,False,False,False,-0.00013033199502840618,-0.00013033199502840618,-0.00013033199502840618,0.0007969286033322849,-0.0071154069847754395,False,False,False,0.0012476776960223441,0.0012476776960223441,0.0012476776960223441,-0.0006424915148977973,0.01718002252239638,False,False,False,-0.0029403910795108763,-0.0029403910795108763,-0.0029403910795108763,0.00011848764354292894,-0.00023620087511609834,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
3,0.060063479,3.462195307,0.0008754973493068516,-0.012336747720837593,-0.0019521061331033707,0.012490238695977405,0.0012444899184629321,0.0007519169594161212,0.0014540062830034333,48.55070610886427,48.55070610886427,48.55070610886427,42.929953082706746,-0.40945834120984276,False,False,False,-8.371022889111447e-05,-8.371022889111447e-05,-8.371022889111447e-05,0.0010372750858993033,-0.0058868605835728765,False,False,False,0.0012512399012911018,0.0012512399012911018,0.0012512399012911018,-0.0012064877253357596,0.01724879986424963,False,False,False,-0.002955916932503831,-0.002955916932503831,-0.002955916932503831,7.981600094966395e-05,-0.0004912086359018132,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
4,0.13645411,3.462195307,0.0016993849908327461,-0.012336747720837593,-0.0019521061331033707,0.012490238695977405,0.0012444899184629321,0.0007519169594161212,0.0014540062830034333,48.43514616627007,48.43514616627007,48.43514616627007,42.93424388936745,-0.43929683585019036,False,False,False,-6.918835153454892e-05,-6.918835153454892e-05,-6.918835153454892e-05,0.0010372520707040373,-0.0055041895343342865,False,False,False,0.001263439506410342,0.001263439506410342,0.001263439506410342,-0.0012063587652529474,0.01748434395799392,False,False,False,-0.0029597631032986793,-0.0029597631032986793,-0.0029597631032986793,7.981601076033315e-05,-0.0005543809074954431,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
5,0.167026035,3.462195307,0.0020412109559984656,-0.012951708398759365,-0.0017955563962459564,0.013075579268949948,0.0006150309345684946,0.0008453214541077614,0.0010453857714982809,48.33828495909011,48.33828495909011,48.33828495909011,42.94875045749815,-0.46430716855212384,False,False,False,-0.00014794176318916485,-0.00014794176318916485,-0.00014794176318916485,0.0007485993810258142,-0.007579448120330076,False,False,False,0.0013546310318609362,0.0013546310318609362,0.0013546310318609362,-0.001313453888559262,0.019245025964458533,False,False,False,-0.002950314052163933,-0.002950314052163933,-0.002950314052163933,0.00019122990244269876,-0.0003991829050079237,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
6,0.188266045,3.462195307,0.002285214092594549,-0.013352599926292896,-0.001685749739408493,0.013458591195795823,0.00033414163044653833,0.0009261062950827181,0.0009845422789242265,48.30223732538385,48.30223732538385,48.30223732538385,42.959175569792926,-0.47361495376727064,False,False,False,-0.00012329122881673033,-0.00012329122881673033,-0.00012329122881673033,0.00082026573132852,-0.00692987330152563,False,False,False,0.0012997985791174556,0.0012997985791174556,0.0012997985791174556,-0.0016519624064011635,0.018186347403718012,False,False,False,-0.002951228037690676,-0.002951228037690676,-0.002951228037690676,0.0002017993547017505,-0.00041419485975662933,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
7,0.200771702,3.462195307,0.002432703026825637,-0.013738649897277355,-0.0015486516058444977,0.01382565813248121,2.2680906113237143e-06,0.0009281302918680012,0.0009281330631531248,48.28376592437496,48.28376592437496,48.28376592437496,42.968777648317065,-0.47838441615735655,False,False,False,-0.00017254227016602904,-0.00017254227016602904,-0.00017254227016602904,0.0006936344699376148,-0.008227704649805703,False,False,False,0.0014195001973124316,0.0014195001973124316,0.0014195001973124316,-0.001548671633515423,0.020497488535080866,False,False,False,-0.0029505215273751433,-0.0029505215273751433,-0.0029505215273751433,0.00024156289514714889,-0.0004025906268930512,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
8,0.220134013,3.462195307,0.002703904033456743,-0.016191929578781128,-0.000575486570596695,0.01620215319879257,-0.0023389016278088093,0.0014058281667530537,0.0027288850578584193,48.431284795399655,48.431284795399655,48.431284795399655,43.032743465260204,-0.4402938724654293,False,False,False,-0.00014630316840890666,-0.00014630316840890666,-0.00014630316840890666,0.0007704691076921069,-0.007536268938434921,False,False,False,0.0013892687582904076,0.0013892687582904076,0.0013892687582904076,-0.0028313330478179485,0.019913794486181035,False,False,False,-0.00297149965063709,-0.00297149965063709,-0.00297149965063709,0.00018417160646985893,-0.0007471503905944816,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
9,0.253328771,3.462195307,0.0031688512076073886,-0.016191929578781128,-0.000575486570596695,0.01620215319879257,-0.0023389016278088093,0.0014058281667530537,0.0027288850578584193,48.529903343060845,48.529903343060845,48.529903343060845,43.035164910070534,-0.41482978049922953,False,False,False,-0.00015142593340529732,-0.00015142593340529732,-0.00015142593340529732,0.0007704661901170781,-0.007671260703482795,False,False,False,0.0013764763994193183,0.0013764763994193183,0.0013764763994193183,-0.0028311911802793082,0.01966680578878538,False,False,False,-0.0029718516433058996,-0.0029718516433058996,-0.0029718516433058996,0.0001841716124313454,-0.0007529317710008824,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
