step,timestamp_ns,experiment_time_s,reference_index,tick_dt_ms,solver_ms,px4_collective_command_newton,px4_collective_normalized,px4_thrust_body_z,state_raw_0,state_raw_1,state_raw_2,state_raw_3,state_raw_4,state_raw_5,state_raw_6,state_raw_7,state_raw_8,state_raw_9,state_raw_10,state_raw_11,state_raw_12,state_raw_13,state_raw_14,state_raw_15,state_raw_16,state_raw_17,state_used_0,state_used_1,state_used_2,state_used_3,state_used_4,state_used_5,state_used_6,state_used_7,state_used_8,state_used_9,state_used_10,state_used_11,state_used_12,state_used_13,state_used_14,state_used_15,state_used_16,state_used_17,control_raw_0,control_raw_1,control_raw_2,control_raw_3,control_used_0,control_used_1,control_used_2,control_used_3,reference_0,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,reference_11,reference_12,reference_13,reference_14,reference_15,reference_16,reference_17
0,1774036340027717452,0.0,0,0.0,30.40892700664699,79.99998684991382,0.9999998356239228,-0.9999998356239228,-0.01766258478164673,0.006614191923290491,0.02531014382839203,-0.01113382913172245,0.013642962090671062,-0.0011593931121751666,0.9945909121834065,-0.10386910817196338,-2.4986261384935676e-06,0.10386909700079983,0.9945908158109715,-0.00044048746693119666,4.823817880074931e-05,0.00043784532629917265,0.9999999029822639,9.983462950913236e-05,-0.00028299581026658416,7.313698006328195e-05,-0.01766258478164673,0.006614191923290491,0.02531014382839203,-0.01113382913172245,0.013642962090671062,-0.0011593931121751666,0.9945909121834065,-0.10386910817196338,-2.4986261384935676e-06,0.10386909700079983,0.9945908158109715,-0.00044048746693119666,4.823817880074931e-05,0.00043784532629917265,0.9999999029822639,9.983462950913236e-05,-0.00028299581026658416,7.313698006328195e-05,39.999986849913824,0.17709581139076458,0.0137479552750851,-0.000923954435016203,39.999986849913824,0.17709581139076458,0.0137479552750851,-0.000923954435016203,-0.018412411212921143,0.003407567972317338,0.02659796178340912,0.0,0.0,0.0,0.994587335621209,-0.10390465727457765,0.00024791146293873224,0.10390472194305089,0.9945873247225264,-0.00026400904073643153,-0.00021913783401318523,0.00028833916964401984,0.9999999344195705,0.0,0.0,0.0
1,1774036340084738039,0.057020587,57,57.020587,24.11928999936208,79.99998684991382,0.9999998356239228,-0.9999998356239228,-0.01766258478164673,0.006614191923290491,0.02531014382839203,-0.01113382913172245,0.013642962090671062,-0.0011593931121751666,0.9945909121834065,-0.10386910817196338,-2.4986261384935676e-06,0.10386909700079983,0.9945908158109715,-0.00044048746693119666,4.823817880074931e-05,0.00043784532629917265,0.9999999029822639,9.983462950913236e-05,-0.00028299581026658416,7.313698006328195e-05,-0.01766258478164673,0.006614191923290491,0.02531014382839203,-0.01113382913172245,0.013642962090671062,-0.0011593931121751666,0.9945909121834065,-0.10386910817196338,-2.4986261384935676e-06,0.10386909700079983,0.9945908158109715,-0.00044048746693119666,4.823817880074931e-05,0.00043784532629917265,0.9999999029822639,9.983462950913236e-05,-0.00028299581026658416,7.313698006328195e-05,39.999986849913824,0.17709581139076458,0.0137479552750851,-0.000923954435016203,39.999986849913824,0.17709581139076458,0.0137479552750851,-0.000923954435016203,-0.018412411212921143,0.003407567972317338,0.02659796178340912,0.0,0.0,0.0,0.994587335621209,-0.10390465727457765,0.00024791146293873224,0.10390472194305089,0.9945873247225264,-0.00026400904073643153,-0.00021913783401318523,0.00028833916964401984,0.9999999344195705,0.0,0.0,0.0
2,1774036340113348369,0.085630917,85,28.61033,17.165402008686215,80.0,1.0,-1.0,-0.01759786531329155,0.00670914351940155,0.025146976113319397,-0.011015289463102818,0.0136686647310853,-0.001264632330276072,0.9945911332433625,-0.10386822428260034,-9.014904184612496e-06,0.10386821019444814,0.9945910366775891,-0.00044169537480221073,5.4844227819724964e-05,0.00043836991604577664,0.9999999024119647,0.0002207537618232891,-0.00017130772175733,9.601541387382895e-05,-0.01759786531329155,0.00670914351940155,0.025146976113319397,-0.011015289463102818,0.0136686647310853,-0.001264632330276072,0.9945911332433625,-0.10386822428260034,-9.014904184612496e-06,0.10386821019444814,0.9945910366775891,-0.00044169537480221073,5.4844227819724964e-05,0.00043836991604577664,0.9999999024119647,0.0002207537618232891,-0.00017130772175733,9.601541387382895e-05,40.00001347458472,0.17712483587522518,0.012462077287845397,-0.001166548998131204,40.00001347458472,0.17712483587522518,0.012462077287845397,-0.001166548998131204,-0.018412411212921143,0.003407567972317338,0.02659796178340912,0.0,0.0,0.0,0.994587335621209,-0.10390465727457765,0.00024791146293873224,0.10390472194305089,0.9945873247225264,-0.00026400904073643153,-0.00021913783401318523,0.00028833916964401984,0.9999999344195705,0.0,0.0,0.0
3,1774036340135783354,0.108065902,108,22.434985,15.82571500330232,80.0,1.0,-1.0,-0.017429867759346962,0.006878297310322523,0.024762973189353943,-0.010765493847429752,0.013696708716452122,-0.0015747126890346408,0.9945912329688876,-0.10386805857181747,-4.018236095537815e-05,0.10386802950525764,0.9945911316131902,-0.00045745792553410734,8.748021341851465e-05,0.00045080992449830597,0.9999998945588207,-0.00021148612722754478,0.0007939169881865382,-0.00013102217053528875,-0.017429867759346962,0.006878297310322523,0.024762973189353943,-0.010765493847429752,0.013696708716452122,-0.0015747126890346408,0.9945912329688876,-0.10386805857181747,-4.018236095537815e-05,0.10386802950525764,0.9945911316131902,-0.00045745792553410734,8.748021341851465e-05,0.00045080992449830597,0.9999998945588207,-0.00021148612722754478,0.0007939169881865382,-0.00013102217053528875,40.00009129280248,0.18491829190109166,0.0008239396508710126,0.0012113759976576538,40.00009129280248,0.18491829190109166,0.0008239396508710126,0.0012113759976576538,-0.018412411212921143,0.003407567972317338,0.02659796178340912,0.0,0.0,0.0,0.994587335621209,-0.10390465727457765,0.00024791146293873224,0.10390472194305089,0.9945873247225264,-0.00026400904073643153,-0.00021913783401318523,0.00028833916964401984,0.9999999344195705,0.0,0.0,0.0
4,1774036340156544005,0.128826553,128,20.760651,21.17666500271298,80.0,1.0,-1.0,-0.017348483204841614,0.006964670494198799,0.02457490563392639,-0.010628270916640759,0.013659876771271229,-0.0017671809764578938,0.9945921204935665,-0.10385902481772313,-4.887052313674693e-05,0.1038589926998068,0.9945920239425426,-0.0004484613232974971,9.518294252720133e-05,0.0004409604222345414,0.9999998982470601,0.0012388764880597591,-0.00044545275159180164,0.0014277040027081966,-0.017348483204841614,0.006964670494198799,0.02457490563392639,-0.010628270916640759,0.013659876771271229,-0.0017671809764578938,0.9945921204935665,-0.10385902481772313,-4.887052313674693e-05,0.1038589926998068,0.9945920239425426,-0.0004484613232974971,9.518294252720133e-05,0.0004409604222345414,0.9999998982470601,0.0012388764880597591,-0.00044545275159180164,0.0014277040027081966,40.00012217407988,0.1684760585067691,0.01597920875425203,-0.015149329053339197,40.00012217407988,0.1684760585067691,0.01597920875425203,-0.015149329053339197,-0.018412411212921143,0.003407567972317338,0.02659796178340912,0.0,0.0,0.0,0.994587335621209,-0.10390465727457765,0.00024791146293873224,0.10390472194305089,0.9945873247225264,-0.00026400904073643153,-0.00021913783401318523,0.00028833916964401984,0.9999999344195705,0.0,0.0,0.0
5,1774036340182702905,0.154985453,154,26.1589,18.935366009827703,80.0,1.0,-1.0,-0.0169803649187088,0.0072876582853496075,0.023828133940696716,-0.010053091682493687,0.013710473664104939,-0.002300721127539873,0.9945911540331366,-0.10386771457480148,-0.00010214208919012615,0.10386766066629938,0.9945910684914537,-0.0004379380096976547,0.00014707720961457116,0.0004249599994517817,0.999999898888645,0.00015133252600207925,0.0006320590036921203,0.0007365046185441315,-0.0169803649187088,0.0072876582853496075,0.023828133940696716,-0.010053091682493687,0.013710473664104939,-0.002300721127539873,0.9945911540331366,-0.10386771457480148,-0.00010214208919012615,0.10386766066629938,0.9945910684914537,-0.0004379380096976547,0.00014707720961457116,0.0004249599994517817,0.999999898888645,0.00015133252600207925,0.0006320590036921203,0.0007365046185441315,40.00022518444543,0.18638853142713455,0.0031062807601238297,-0.007903935469041463,40.00022518444543,0.18638853142713455,0.0031062807601238297,-0.007903935469041463,-0.018412411212921143,0.003407567972317338,0.02659796178340912,0.0,0.0,0.0,0.994587335621209,-0.10390465727457765,0.00024791146293873224,0.10390472194305089,0.9945873247225264,-0.00026400904073643153,-0.00021913783401318523,0.00028833916964401984,0.9999999344195705,0.0,0.0,0.0
6,1774036340204452473,0.176735021,176,21.749568,17.26410699484404,80.0,1.0,-1.0,-0.016780797392129898,0.007441445719450712,0.023440465331077576,-0.009745231829583645,0.0136655168607831,-0.002662495942786336,0.9945916900427714,-0.10386222867678407,-0.00012085350500030956,0.10386216683105975,0.9945916074160228,-0.0004379636776989382,0.0001656877635168169,0.00042304292651601516,0.9999998967911187,0.0005569708882831037,0.0002864718553610146,-0.00010796952119562775,-0.016780797392129898,0.007441445719450712,0.023440465331077576,-0.009745231829583645,0.0136655168607831,-0.002662495942786336,0.9945916900427714,-0.10386222867678407,-0.00012085350500030956,0.10386216683105975,0.9945916074160228,-0.0004379636776989382,0.0001656877635168169,0.00042304292651601516,0.9999998967911187,0.0005569708882831037,0.0002864718553610146,-0.00010796952119562775,40.00028497417128,0.1835737537307283,0.007419566795457739,0.0009549281006193209,40.00028497417128,0.1835737537307283,0.007419566795457739,0.0009549281006193209,-0.018412411212921143,0.003407567972317338,0.02659796178340912,0.0,0.0,0.0,0.994587335621209,-0.10390465727457765,0.00024791146293873224,0.10390472194305089,0.9945873247225264,-0.00026400904073643153,-0.00021913783401318523,0.00028833916964401984,0.9999999344195705,0.0,0.0,0.0
7,1774036340226551226,0.198833774,198,22.098753,19.961447003879584,79.1197165021728,0.98899645627716,-0.98899645627716,-0.016471175476908684,0.007657278329133987,0.022862255573272705,-0.00921181496232748,0.012378185987472534,0.003416630905121565,0.9945916077422225,-0.10386306898470776,-0.00016708625858510775,0.10386303199792546,0.9945916020483168,-0.00021662677274309893,0.0001886821053184031,0.00019810108432230945,0.9999999625775116,0.03940710797905922,0.002649204107001424,-0.0005908288876526058,-0.016471175476908684,0.007657278329133987,0.022862255573272705,-0.00921181496232748,0.012378185987472534,0.003416630905121565,0.9945916077422225,-0.10386306898470776,-0.00016708625858510775,0.10386303199792546,0.9945916020483168,-0.00021662677274309893,0.0001886821053184031,0.00019810108432230945,0.9999999625775116,0.03940710797905922,0.002649204107001424,-0.0005908288876526058,39.11971650217281,-0.2878944825059577,-0.02184660213881112,0.006013979241575579,39.11971650217281,-0.2878944825059577,-0.02184660213881112,0.006013979241575579,-0.018412411212921143,0.003407567972317338,0.02659796178340912,0.0,0.0,0.0,0.994587335621209,-0.10390465727457765,0.00024791146293873224,0.10390472194305089,0.9945873247225264,-0.00026400904073643153,-0.00021913783401318523,0.00028833916964401984,0.9999999344195705,0.0,0.0,0.0
8,1774036340250795935,0.223078483,223,24.244709,17.852507007773966,0.0001779666396544144,2.22458299568018e-06,-2.22458299568018e-06,-0.016247600317001343,0.007761789485812187,0.022786766290664673,-0.008931491523981094,0.012304198928177357,0.03746366873383522,0.9945904145697154,-0.1038751544830605,-0.0003813576775924983,0.10387563493669472,0.9945891581539842,0.0015952603825958693,0.0002135864717579851,-0.001626244196183537,0.9999986548545862,0.15869185328483582,0.017936915159225464,-0.0010342480381950736,-0.016247600317001343,0.007761789485812187,0.022786766290664673,-0.008931491523981094,0.012304198928177357,0.03746366873383522,0.9945904145697154,-0.1038751544830605,-0.0003813576775924983,0.10387563493669472,0.9945891581539842,0.0015952603825958693,0.0002135864717579851,-0.001626244196183537,0.9999986548545862,0.15869185328483582,0.017936915159225464,-0.0010342480381950736,-39.999822033360346,-1.7487411550266325,-0.2091388628550757,0.010669346578084275,-39.999822033360346,-1.7487411550266325,-0.2091388628550757,0.010669346578084275,-0.018412411212921143,0.003407567972317338,0.02659796178340912,0.0,0.0,0.0,0.994587335621209,-0.10390465727457765,0.00024791146293873224,0.10390472194305089,0.9945873247225264,-0.00026400904073643153,-0.00021913783401318523,0.00028833916964401984,0.9999999344195705,0.0,0.0,0.0
9,1774036340273621381,0.245903929,245,22.825446,19.584234003559686,0.0,0.0,-0.0,-0.015777328982949257,0.007919520139694214,0.024737179279327393,-0.008271249011158943,0.010133284144103527,0.1322801113128662,0.9945861084589168,-0.10390638161647692,-0.0014847532599646662,0.10391652006637675,0.9945230254351444,0.01120609260201777,0.0003122380910399736,-0.011299712873452883,0.9999361074647971,0.413114458322525,0.0435357391834259,-0.0013983654789626598,-0.015777328982949257,0.007919520139694214,0.024737179279327393,-0.008271249011158943,0.010133284144103527,0.1322801113128662,0.9945861084589168,-0.10390638161647692,-0.0014847532599646662,0.10391652006637675,0.9945230254351444,0.01120609260201777,0.0003122380910399736,-0.011299712873452883,0.9999361074647971,0.413114458322525,0.0435357391834259,-0.0013983654789626598,-40.000039484633916,-2.000519630863154,-0.5198824165723597,0.01448974619317741,-40.000039484633916,-2.000519630863154,-0.5198824165723597,0.01448974619317741,-0.018412411212921143,0.003407567972317338,0.02659796178340912,0.0,0.0,0.0,0.994587335621209,-0.10390465727457765,0.00024791146293873224,0.10390472194305089,0.9945873247225264,-0.00026400904073643153,-0.00021913783401318523,0.00028833916964401984,0.9999999344195705,0.0,0.0,0.0
