step,experiment_time_s,replay_horizon_steps,one_step_error_x,one_step_error_dx,one_step_error_theta,one_step_error_wb,replay_error_x,replay_error_dx,replay_error_theta,replay_error_wb,control_internal_0,control_internal_near_lower_0,control_internal_near_upper_0,control_internal_1,control_internal_near_lower_1,control_internal_near_upper_1,control_internal_2,control_internal_near_lower_2,control_internal_near_upper_2,control_internal_3,control_internal_near_lower_3,control_internal_near_upper_3
24,0.284176559,10,0.00020221107574680525,0.001852448307136868,6.229972851505508e-05,0.0011546126883288078,0.003023039688353286,0.018201093456528948,0.000648321673985954,0.009339559434795617,-0.9053740198369846,False,False,-0.0054819618764361455,False,False,0.002813329959547735,False,False,0.00028816716863860263,False,False
25,0.297432961,10,0.00023237284812716177,0.0018825362245318453,5.616757890356076e-05,0.000929865853571019,0.0030982008989045564,0.018485502326401348,0.0005386045280711401,0.007009648943204247,-0.8970637231576385,False,False,-0.004903711707935144,False,False,0.0038193957192456766,False,False,0.0004283740264606936,False,False
26,0.3046319,10,0.00023013776907964304,0.0018713187951738606,6.785040886533656e-05,0.0005460049333318688,0.0035123127057115028,0.018599786578078124,0.0006768059895040497,0.009640157703240069,-0.8991476055733186,False,False,-0.005640949236553734,False,False,0.0031844700855851236,False,False,0.0003697691993221747,False,False
27,0.316700671,10,0.000224531754311378,0.0018710429223872907,3.903932801140035e-05,0.002557727608501107,0.0034980960556362066,0.018755276689325227,0.0006100130931918952,0.010053356505278055,-0.8978228530587017,False,False,-0.006116087059831222,False,False,0.004276042222261048,False,False,0.0005539439338601067,False,False
28,0.333282456,10,0.00026209123501708554,0.001894732703933351,6.327457012670894e-05,0.0008970945363631605,0.003543970489433312,0.01896796593922999,0.0007589241326799469,0.009253988869035773,-0.8964227639835501,False,False,-0.006627622880363466,False,False,0.0057426535315383154,False,False,-9.894953461687245e-05,False,False
29,0.346899928,10,0.0002592007302261338,0.001837619930077468,6.47741916113152e-05,0.00126924662234086,0.003538026232112177,0.019299473097362314,0.0008063606364083883,0.00958187110534036,-0.8953366978068814,False,False,-0.006474695150176084,False,False,0.005053912087746115,False,False,-0.00022278870600278113,False,False
30,0.360231019,10,0.0002569405390980675,0.0019468364524139426,6.639720375573278e-05,0.0018624415872772456,0.0035448736441395018,0.019782598860301117,0.000698277406919146,0.006384931269635249,-0.8812121956437904,False,False,-0.005565657470933424,False,False,0.006372555557447271,False,False,-0.00011342994428970695,False,False
31,0.371009074,10,0.0003153939593041721,0.001935870158632052,5.9502893496278064e-05,0.0003251322470350865,0.003525283231526278,0.020005710580660734,0.0007182828822682743,0.008001191125164717,-0.8740071414574663,False,False,-0.004541557478725703,False,False,0.002686781506200523,False,False,0.00015316252184591957,False,False
32,0.383702291,10,0.00028236657556439084,0.0019842891454649727,5.105971160382504e-05,0.0014723633552917005,0.0034417106309706067,0.0201886142803359,0.0006835952667259933,0.009544985485640376,-0.8675571384648937,False,False,-0.00522938287806649,False,False,0.0042145045403859166,False,False,0.0002552380719259702,False,False
33,0.394735273,10,0.00027922980002737945,0.0020592857286816065,6.426487697623276e-05,0.0008959940461771047,0.0033944233746810337,0.02036418714933744,0.0007792757037737351,0.009092711256008499,-0.8634514780923299,False,False,-0.005838785015365475,False,False,0.005681615204132081,False,False,-7.775048897878607e-05,False,False
34,0.411553961,10,0.0002763690537305167,0.002063487292052297,7.16611348694599e-05,0.0013233897927436005,0.0033411701393191635,0.020611985504881507,0.0007698306304524428,0.008899521924837436,-0.8564269966342511,False,False,-0.005424511000726645,False,False,0.005356894959764583,False,False,-8.866813818647008e-05,False,False
35,0.419730613,10,0.0006629055204639038,0.002397858354729722,0.00012145147252711246,0.002230109613745733,0.003293364671735867,0.02061929405611389,0.0007587778891027805,0.011419306803574152,-0.8624963227460029,False,False,-0.006752248777212409,False,False,0.004702571021267077,False,False,0.00033932337105911165,False,False
36,0.430632252,10,0.00023749558695752813,0.002145596935026044,7.201411236191896e-05,0.0006077964663387547,0.0028215843347013376,0.021491627279658636,0.0006898224757372226,0.0077396350208209785,-0.8416034671225819,False,False,-0.0048706209256242404,False,False,0.006789398685571624,False,False,-1.2887052947686212e-06,False,False
37,0.443775131,10,0.0002888128668411819,0.0021101690022428477,5.5616744125894994e-05,0.0015683958989430365,0.0028336569908836598,0.021647668769950952,0.0006931718190984297,0.007935676625101567,-0.8277596105302711,False,False,-0.004768214732516172,False,False,0.006897814320349523,False,False,-2.0017010921482e-05,False,False
38,0.456477939,10,0.00025672897616515794,0.0022745937736135327,8.085133138921711e-05,0.001878148197548284,0.00275314112842889,0.021865059420001852,0.0008346041467285155,0.009302354752257002,-0.8234521997189974,False,False,-0.005012144153433773,False,False,0.00644190020024353,False,False,-0.00033302300303262157,False,False
