step,experiment_time_s,reference_index,raw_u2,used_u2,baseline_u2,raw_sign_match_u2,used_sign_match_u2,raw_magnitude_ratio_u2,used_magnitude_ratio_u2,anchor_delta_u2,lateral_position_residual_x,lateral_position_residual_y,lateral_position_residual_norm,lateral_velocity_residual_x,lateral_velocity_residual_y,lateral_velocity_residual_norm,state_group_x,state_group_dx,state_group_theta,state_group_wb,reference_group_x,reference_group_dx,reference_group_theta,reference_group_wb,pred_error_x,pred_error_dx,pred_error_theta,pred_error_wb
0,0.0,0,1.3770870868354452e-05,1.3770870868354452e-05,-0.003587122130024337,,,,,0.0,-0.00480253086425364,0.007395461201667786,0.008818001422515327,-0.003034666646271944,0.019756192341446877,0.019987904779797196,0.7510457198632434,0.02062609452679657,0.00020040647056928542,0.0011129882799674486,0.750000000000003,0.0,1.4628165250998793e-11,0.0,0.00027187586746261995,0.003885533625363556,7.977130887565515e-05,0.0020209721206658764
1,0.038978635,38,7.105725995084142e-05,7.105725995084142e-05,-0.003587113910446873,,,,,0.0,-0.00480253086425364,0.007395461201667786,0.008818001422515327,-0.003034666646271944,0.019756192341446877,0.019987904779797196,0.7510457198632434,0.02062609452679657,0.00020040647056928542,0.0011129882799674486,0.750000000000003,0.0,1.4628165250998793e-11,0.0,0.0001655582987043696,0.003071129552120007,6.554180202974623e-05,0.0025970784053900363
2,0.046081792,46,0.00029344026199228676,0.00029344026199228676,-0.003331307805965494,,,,,0.0,-0.004963674116879702,0.00765107199549675,0.009120140537231656,-0.0031020210590213537,0.01980607770383358,0.020047524751472576,0.7511811041879256,0.020714715885298128,0.00019413629904616747,0.0005755203360278999,0.750000000000003,0.0,1.4628165250998793e-11,0.0,0.00015441719620434022,0.002428514783012032,7.073104453220527e-05,0.0010480624804437972
3,0.055608152,55,0.00023701012578707418,0.00023701012578707418,-0.0035634644767186157,,,,,0.0,-0.005041513359174132,0.0077791716903448105,0.00926997136665445,-0.0031778530683368444,0.019829582422971725,0.020082606633436983,0.7512491241528483,0.020754642307059167,0.0001929385242802953,0.0008243389525759613,0.750000000000003,0.0,1.4628165250998793e-11,0.0,0.000132113870359356,0.0021590220970971376,6.504766745442292e-05,0.001641175841417423
4,0.062255218,62,0.0003265678653956437,0.0003265678653956437,-0.003494252717965632,,,,,0.0,-0.005207421258091927,0.008023863658308983,0.00956554358969522,-0.0033330400474369526,0.019813889637589455,0.020092271611950534,0.7513685425141493,0.02080670907441258,0.00019191981145355496,0.0004845543676681573,0.750000000000003,0.0,1.4628165250998793e-11,0.0,0.000159171225888555,0.0018338286040837336,5.067035923513873e-05,0.0016367949752556965
5,0.06976995,69,0.0002575458121225818,0.0002575458121225818,-0.003709967007920394,,,,,0.0,-0.005295244278386235,0.008140899240970612,0.009711531929588556,-0.0033512464724481106,0.019891202449798584,0.02017153409679019,0.7514382396670625,0.020894778936120142,0.00017973125235065107,0.0012937987376803058,0.750000000000003,0.0,1.4628165250998793e-11,0.0,0.0006073942207699273,0.0020777682225756274,6.506775930434568e-05,0.0014465014779691256
6,0.080014978,80,0.00034184446037308113,0.00034184446037308113,-0.003639740285424207,,,,,0.0,-0.005784424254670739,0.008665189146995544,0.010418496384374884,-0.00361130409874022,0.01986786350607872,0.02019340282344094,0.7518546354430559,0.021023602035592937,0.00014550938700009657,0.0008038042316871109,0.750000000000003,0.0,1.4628165250998793e-11,0.0,0.0002866081553264341,0.0015352712731362894,5.6878921874578715e-05,0.0005215965045887594
7,0.093156111,93,0.0003584041773489409,0.0003584041773489409,-0.0036397345803949425,,,,,0.0,-0.005784424254670739,0.008665189146995544,0.010418496384374884,-0.00361130409874022,0.01986786350607872,0.02019340282344094,0.7518546354430559,0.021023602035592937,0.00014550938700009657,0.0008038042316871109,0.750000000000003,0.0,1.4628165250998793e-11,0.0,0.00018455759736133503,0.0014989744229972374,5.233230778685928e-05,0.0013558948851213344
8,0.102432558,102,0.0004001920897046494,0.0004001920897046494,-0.0036211596105406732,,,,,0.0,-0.005887124687433243,0.008762804791331291,0.01055675067889569,-0.003719884669408202,0.019926561042666435,0.020270801092724722,0.7519559001999774,0.021113203400547544,0.0001371070542094813,0.00028302234349093845,0.750000000000003,0.0,1.4628165250998793e-11,0.0,0.0001892337725836319,0.001533280180178664,5.8536491599062385e-05,0.0006692213262573028
9,0.110941104,110,0.00034224407645077617,0.00034224407645077617,-0.003773328104720336,,,,,0.0,-0.006004845490679145,0.008856749162077904,0.010700475460786651,-0.0038329814560711384,0.019991489127278328,0.020355622917726513,0.7520645834062585,0.02121752344019594,0.0001318802521132514,0.0007215327227815079,0.750000000000003,0.0,1.4628165250998793e-11,0.0,0.0003716243411804259,0.0016510646491514436,3.5205314648728783e-05,0.0017332694159621072
10,0.119736053,119,0.0005364503719426959,0.0005364503719426959,-0.003478797117197006,,,,,0.0,-0.006346544483676553,0.009142883121967316,0.011129732191981984,-0.004124686121940613,0.019975587725639343,0.02039698851765237,0.7523881733973026,0.02131460145751334,0.00010251183658201534,0.001237790766632349,0.750000000000003,0.0,1.4628165250998793e-11,0.0,0.00029080625707807975,0.001431004001080904,5.7040628119976986e-05,0.00044469713599776446
11,0.129789713,129,0.0005560148705534448,0.0005560148705534448,-0.0034787909573447064,,,,,0.0,-0.006346544483676553,0.009142883121967316,0.011129732191981984,-0.004124686121940613,0.019975587725639343,0.02039698851765237,0.7523881733973026,0.02131460145751334,0.00010251183658201534,0.001237790766632349,0.750000000000003,0.0,1.4628165250998793e-11,0.0,0.0002287419854690696,0.0015100880882349865,5.646305438912794e-05,0.002164996281486913
12,0.143593299,143,0.00036199224912630525,0.00036199224912630525,-0.0039626935944635944,,,,,0.0,-0.006597927655093372,0.009361529722809792,0.011452985990251498,-0.004255771636962891,0.019946465268731117,0.020395417841826004,0.7526004694035059,0.021339275232544815,9.121925851132557e-05,0.0008794901902601294,0.750000000000003,0.0,1.4628165250998793e-11,0.0,0.0002897382593019723,0.0014626113200013836,6.443618024070363e-05,0.0004924118201975157
