step,timestamp_ns,experiment_time_s,reference_index,tick_dt_ms,solver_ms,state_raw_0,state_raw_1,state_raw_2,state_raw_3,state_raw_4,state_raw_5,state_raw_6,state_raw_7,state_raw_8,state_raw_9,state_raw_10,state_raw_11,state_raw_12,state_raw_13,state_raw_14,state_raw_15,state_raw_16,state_raw_17,state_used_0,state_used_1,state_used_2,state_used_3,state_used_4,state_used_5,state_used_6,state_used_7,state_used_8,state_used_9,state_used_10,state_used_11,state_used_12,state_used_13,state_used_14,state_used_15,state_used_16,state_used_17,control_raw_0,control_raw_1,control_raw_2,control_raw_3,control_used_0,control_used_1,control_used_2,control_used_3,reference_0,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,reference_11,reference_12,reference_13,reference_14,reference_15,reference_16,reference_17
0,1773698451816400984,0.0,0,0.0,65.12916900101118,-0.050382718443870544,-0.05497587472200394,0.040769755840301514,-0.03008631058037281,-0.02664422243833542,0.004662159830331802,0.9946520594836318,-0.10327917495360062,0.000844426649018589,0.10327841611045607,0.9946520915633198,0.0008977666214992499,-0.0009326313116066596,-0.0008057543725365581,0.9999992404790825,-0.0006049323128536344,-0.00024086973280645907,0.0002560617867857218,-0.050382718443870544,-0.05497587472200394,0.040769755840301514,-0.03008631058037281,-0.02664422243833542,0.004662159830331802,0.9946520594836318,-0.10327917495360062,0.000844426649018589,0.10327841611045607,0.9946520915633198,0.0008977666214992499,-0.0009326313116066596,-0.0008057543725365581,0.9999992404790825,-0.0006049323128536344,-0.00024086973280645907,0.0002560617867857218,31.2087685897686,-0.8115582752924007,-0.03748425725854204,-0.001387855154281285,31.2087685897686,-0.8115582752924007,-0.03748425725854204,-0.001387855154281285,-0.04338938370347023,-0.041987061500549316,0.04278257489204407,0.0,0.0,0.0,0.9946324791709339,-0.1034692182327539,0.0005323084826376057,0.10346896374587633,0.9946325296758806,0.0004853325304418187,-0.0005796683434125972,-0.000427650087616388,0.9999997405499653,0.0,0.0,0.0
1,1773698451909699936,0.093298952,93,93.298952,29.024161005509086,-0.050382718443870544,-0.05497587472200394,0.040769755840301514,-0.03008631058037281,-0.02664422243833542,0.004662159830331802,0.9946520594836318,-0.10327917495360062,0.000844426649018589,0.10327841611045607,0.9946520915633198,0.0008977666214992499,-0.0009326313116066596,-0.0008057543725365581,0.9999992404790825,-0.0006049323128536344,-0.00024086973280645907,0.0002560617867857218,-0.050382718443870544,-0.05497587472200394,0.040769755840301514,-0.03008631058037281,-0.02664422243833542,0.004662159830331802,0.9946520594836318,-0.10327917495360062,0.000844426649018589,0.10327841611045607,0.9946520915633198,0.0008977666214992499,-0.0009326313116066596,-0.0008057543725365581,0.9999992404790825,-0.0006049323128536344,-0.00024086973280645907,0.0002560617867857218,31.2087685897686,-0.8115582752924007,-0.03748425725854204,-0.001387855154281285,31.2087685897686,-0.8115582752924007,-0.03748425725854204,-0.001387855154281285,-0.04338938370347023,-0.041987061500549316,0.04278257489204407,0.0,0.0,0.0,0.9946324791709339,-0.1034692182327539,0.0005323084826376057,0.10346896374587633,0.9946325296758806,0.0004853325304418187,-0.0005796683434125972,-0.000427650087616388,0.9999997405499653,0.0,0.0,0.0
2,1773698451943708102,0.127307118,127,34.008166,28.778341991710477,-0.05070701241493225,-0.055257733911275864,0.040515169501304626,-0.0303141251206398,-0.026546455919742584,0.004478820133954287,0.9946518936499252,-0.10328217921401706,0.0008625337341794926,0.10328142762660386,0.9946519610008316,0.0008747761993788284,-0.0009482693797292756,-0.0007810141004265813,0.9999992454009115,-0.00016050673730205745,-0.0005164937465451658,-5.240266546024941e-06,-0.05070701241493225,-0.055257733911275864,0.040515169501304626,-0.0303141251206398,-0.026546455919742584,0.004478820133954287,0.9946518936499252,-0.10328217921401706,0.0008625337341794926,0.10328142762660386,0.9946519610008316,0.0008747761993788284,-0.0009482693797292756,-0.0007810141004265813,0.9999992454009115,-0.00016050673730205745,-0.0005164937465451658,-5.240266546024941e-06,31.96152038522695,-0.8211813614467696,-0.03433156000499485,0.0013654267728982208,31.96152038522695,-0.8211813614467696,-0.03433156000499485,0.0013654267728982208,-0.04338938370347023,-0.041987061500549316,0.04278257489204407,0.0,0.0,0.0,0.9946324791709339,-0.1034692182327539,0.0005323084826376057,0.10346896374587633,0.9946325296758806,0.0004853325304418187,-0.0005796683434125972,-0.000427650087616388,0.9999997405499653,0.0,0.0,0.0
3,1773698451978854312,0.162453328,162,35.14621,25.39975599211175,-0.05144532769918442,-0.055768027901649475,0.039900004863739014,-0.030881134793162346,-0.026161542162299156,0.003986623603850603,0.994647844076303,-0.10332060125813292,0.0008996374843412954,0.10331985855684245,0.9946479764609478,0.0008363416309464344,-0.000981233684879308,-0.0007389150035993662,0.9999992455923511,0.000969558663200587,-0.0011557805119082332,-7.106078555807471e-06,-0.05144532769918442,-0.055768027901649475,0.039900004863739014,-0.030881134793162346,-0.026161542162299156,0.003986623603850603,0.994647844076303,-0.10332060125813292,0.0008996374843412954,0.10331985855684245,0.9946479764609478,0.0008363416309464344,-0.000981233684879308,-0.0007389150035993662,0.9999992455923511,0.000969558663200587,-0.0011557805119082332,-7.106078555807471e-06,33.94632304413121,-0.8422262423248591,-0.02687661200300235,0.0014093126353391145,33.94632304413121,-0.8422262423248591,-0.02687661200300235,0.0014093126353391145,-0.04338938370347023,-0.041987061500549316,0.04278257489204407,0.0,0.0,0.0,0.9946324791709339,-0.1034692182327539,0.0005323084826376057,0.10346896374587633,0.9946325296758806,0.0004853325304418187,-0.0005796683434125972,-0.000427650087616388,0.9999997405499653,0.0,0.0,0.0
4,1773698452011825821,0.195424837,195,32.971509,19.490471997414716,-0.052160054445266724,-0.05617492273449898,0.03918132185935974,-0.0315195694565773,-0.025765376165509224,0.003451654454693198,0.9946456646938762,-0.10334078175503558,0.0009377086053332789,0.10334005376210764,0.994645865196703,0.0007942927115968251,-0.0010147706571418252,-0.0006931369659857051,0.9999992449006114,6.868542550364509e-05,0.0002403697435511276,0.00031340200803242624,-0.052160054445266724,-0.05617492273449898,0.03918132185935974,-0.0315195694565773,-0.025765376165509224,0.003451654454693198,0.9946456646938762,-0.10334078175503558,0.0009377086053332789,0.10334005376210764,0.994645865196703,0.0007942927115968251,-0.0010147706571418252,-0.0006931369659857051,0.9999992449006114,6.868542550364509e-05,0.0002403697435511276,0.00031340200803242624,35.94181940706564,-0.8365755930882387,-0.04409440883047974,-0.0019345939761570975,35.94181940706564,-0.8365755930882387,-0.04409440883047974,-0.0019345939761570975,-0.04338938370347023,-0.041987061500549316,0.04278257489204407,0.0,0.0,0.0,0.9946324791709339,-0.1034692182327539,0.0005323084826376057,0.10346896374587633,0.9946325296758806,0.0004853325304418187,-0.0005796683434125972,-0.000427650087616388,0.9999997405499653,0.0,0.0,0.0
5,1773698452034016370,0.217615386,217,22.190549,25.271824997616932,-0.05245409533381462,-0.05629679188132286,0.03892134130001068,-0.03167067468166351,-0.02556760050356388,0.0031680406536906958,0.9946440655080857,-0.10335494239120724,0.0009543077863377047,0.10335422533598404,0.9946442978186645,0.0007725234798254543,-0.0010290409407629764,-0.000669754149057733,0.9999992462517674,0.00011042726691812277,0.00013994677283335477,0.00021420285338535905,-0.05245409533381462,-0.05629679188132286,0.03892134130001068,-0.03167067468166351,-0.02556760050356388,0.0031680406536906958,0.9946440655080857,-0.10335494239120724,0.0009543077863377047,0.10335422533598404,0.9946442978186645,0.0007725234798254543,-0.0010290409407629764,-0.000669754149057733,0.9999992462517674,0.00011042726691812277,0.00013994677283335477,0.00021420285338535905,37.02333826199494,-0.8384535984271393,-0.04292546353564469,-0.0008865698840707918,37.02333826199494,-0.8384535984271393,-0.04292546353564469,-0.0008865698840707918,-0.04338938370347023,-0.041987061500549316,0.04278257489204407,0.0,0.0,0.0,0.9946324791709339,-0.1034692182327539,0.0005323084826376057,0.10346896374587633,0.9946325296758806,0.0004853325304418187,-0.0005796683434125972,-0.000427650087616388,0.9999997405499653,0.0,0.0,0.0
6,1773698452065294096,0.248893112,248,31.277726,27.410886992583983,-0.052994001656770706,-0.05650070682168007,0.03838042914867401,-0.03197474032640457,-0.025126347318291664,0.0027721624355763197,0.9946413711745214,-0.10338200674711229,0.000979716730210087,0.10338133201378952,0.9946416660149162,0.0007161241744993059,-0.0010485012299573208,-0.0006110023531328192,0.9999992636604621,-0.00032224750611931086,-0.0007509837159886956,0.0008972985669970512,-0.052994001656770706,-0.05650070682168007,0.03838042914867401,-0.03197474032640457,-0.025126347318291664,0.0027721624355763197,0.9946413711745214,-0.10338200674711229,0.000979716730210087,0.10338133201378952,0.9946416660149162,0.0007161241744993059,-0.0010485012299573208,-0.0006110023531328192,0.9999992636604621,-0.00032224750611931086,-0.0007509837159886956,0.0008972985669970512,38.51882608647199,-0.8354045913308464,-0.03214219614265606,-0.008041967436150241,38.51882608647199,-0.8354045913308464,-0.03214219614265606,-0.008041967436150241,-0.04338938370347023,-0.041987061500549316,0.04278257489204407,0.0,0.0,0.0,0.9946324791709339,-0.1034692182327539,0.0005323084826376057,0.10346896374587633,0.9946325296758806,0.0004853325304418187,-0.0005796683434125972,-0.000427650087616388,0.9999997405499653,0.0,0.0,0.0
7,1773698452101349904,0.28494892,284,36.055808,30.77843799837865,-0.05344105511903763,-0.056625377386808395,0.037841543555259705,-0.032296061515808105,-0.024663584306836128,0.00254702172242105,0.9946386832430276,-0.10340729501349744,0.0009941238509238726,0.10340666832707823,0.9946390245554371,0.0006625137514259093,-0.0010573030020527441,-0.0005561628031920118,0.9999992863964485,-0.00077320501441136,-0.0002825663541443646,0.0005891810869798064,-0.05344105511903763,-0.056625377386808395,0.037841543555259705,-0.032296061515808105,-0.024663584306836128,0.00254702172242105,0.9946386832430276,-0.10340729501349744,0.0009941238509238726,0.10340666832707823,0.9946390245554371,0.0006625137514259093,-0.0010573030020527441,-0.0005561628031920118,0.9999992863964485,-0.00077320501441136,-0.0002825663541443646,0.0005891810869798064,39.35557930522328,-0.8310100129896348,-0.037873178074178844,-0.004797357945163995,39.35557930522328,-0.8310100129896348,-0.037873178074178844,-0.004797357945163995,-0.04338938370347023,-0.041987061500549316,0.04278257489204407,0.0,0.0,0.0,0.9946324791709339,-0.1034692182327539,0.0005323084826376057,0.10346896374587633,0.9946325296758806,0.0004853325304418187,-0.0005796683434125972,-0.000427650087616388,0.9999997405499653,0.0,0.0,0.0
8,1773698452137959143,0.321558159,321,36.609239,32.00928099977318,-0.05385414883494377,-0.05671008676290512,0.03716844320297241,-0.03244803473353386,-0.024109231308102608,0.0019584810361266136,0.9946347922916077,-0.10344425236167876,0.0010113358437830611,0.10344370222549526,0.9946351933470352,0.0005820731578689998,-0.0010661222658530489,-0.00047433391643898586,0.999999319195126,0.001068519544787705,-0.0010004632640630007,-0.0005756761529482901,-0.05385414883494377,-0.05671008676290512,0.03716844320297241,-0.03244803473353386,-0.024109231308102608,0.0019584810361266136,0.9946347922916077,-0.10344425236167876,0.0010113358437830611,0.10344370222549526,0.9946351933470352,0.0005820731578689998,-0.0010661222658530489,-0.00047433391643898586,0.999999319195126,0.001068519544787705,-0.0010004632640630007,-0.0005756761529482901,41.69753990795283,-0.8540866660846107,-0.02918414909593342,0.0074392157032007675,41.69753990795283,-0.8540866660846107,-0.02918414909593342,0.0074392157032007675,-0.04338938370347023,-0.041987061500549316,0.04278257489204407,0.0,0.0,0.0,0.9946324791709339,-0.1034692182327539,0.0005323084826376057,0.10346896374587633,0.9946325296758806,0.0004853325304418187,-0.0005796683434125972,-0.000427650087616388,0.9999997405499653,0.0,0.0,0.0
9,1773698452173087296,0.356686312,356,35.128153,31.19977199821733,-0.054056961089372635,-0.056695226579904556,0.03671211004257202,-0.0324590764939785,-0.023606153205037117,0.0016365812625735998,0.9946338126610529,-0.10345483239709963,0.0010119162465458582,0.1034543424574077,0.9946342396927689,0.0005252302382319496,-0.0010608239029633176,-0.00041772471806001896,0.9999993500792446,-0.0011394545435905457,0.0005710196564905345,-0.00017034634947776794,-0.054056961089372635,-0.056695226579904556,0.03671211004257202,-0.0324590764939785,-0.023606153205037117,0.0016365812625735998,0.9946338126610529,-0.10345483239709963,0.0010119162465458582,0.1034543424574077,0.9946342396927689,0.0005252302382319496,-0.0010608239029633176,-0.00041772471806001896,0.9999993500792446,-0.0011394545435905457,0.0005710196564905345,-0.00017034634947776794,42.765280551537344,-0.826437824360257,-0.04827221620097868,0.0031871929634007885,42.765280551537344,-0.826437824360257,-0.04827221620097868,0.0031871929634007885,-0.04338938370347023,-0.041987061500549316,0.04278257489204407,0.0,0.0,0.0,0.9946324791709339,-0.1034692182327539,0.0005323084826376057,0.10346896374587633,0.9946325296758806,0.0004853325304418187,-0.0005796683434125972,-0.000427650087616388,0.9999997405499653,0.0,0.0,0.0
