step,experiment_time_s,divergence_time_s,baseline_z_error_integral,lateral_position_residual_x,lateral_position_residual_y,lateral_position_residual_norm,lateral_velocity_residual_x,lateral_velocity_residual_y,lateral_velocity_residual_norm,learned_control_0,raw_control_0,used_control_0,baseline_control_0,control_internal_0,control_internal_near_lower_0,control_internal_near_upper_0,control_internal_near_bound_0,learned_control_1,raw_control_1,used_control_1,baseline_control_1,control_internal_1,control_internal_near_lower_1,control_internal_near_upper_1,control_internal_near_bound_1,learned_control_2,raw_control_2,used_control_2,baseline_control_2,control_internal_2,control_internal_near_lower_2,control_internal_near_upper_2,control_internal_near_bound_2,learned_control_3,raw_control_3,used_control_3,baseline_control_3,control_internal_3,control_internal_near_lower_3,control_internal_near_upper_3,control_internal_near_bound_3,u1_active_threshold_nm,u1_baseline_active,u1_raw_active,u1_used_active,u1_raw_overlap_active,u1_used_overlap_active,u1_raw_sign_match,u1_used_sign_match,u1_raw_magnitude_ratio,u1_used_magnitude_ratio,u1_anchor_applied,u1_anchor_delta,u1_anchor_sign_flip,u2_active_threshold_nm,u2_baseline_active,u2_raw_active,u2_used_active,u2_raw_overlap_active,u2_used_overlap_active,u2_raw_sign_match,u2_used_sign_match,u2_raw_magnitude_ratio,u2_used_magnitude_ratio,u2_anchor_applied,u2_anchor_delta,u2_anchor_sign_flip,u3_active_threshold_nm,u3_baseline_active,u3_raw_active,u3_used_active,u3_raw_overlap_active,u3_used_overlap_active,u3_raw_sign_match,u3_used_sign_match,u3_raw_magnitude_ratio,u3_used_magnitude_ratio,u3_anchor_applied,u3_anchor_delta,u3_anchor_sign_flip
0,0.0,2.604491066,0.0013255813875612467,-0.0011564106680452824,0.018770532682538033,0.018806120887078157,-0.004339404404163361,0.008710856549441814,0.009731878154181018,50.422754491421585,50.422754491421585,50.422754491421585,43.49024026594067,0.07391941387927875,False,False,False,-0.0006987225095520098,-0.0006987225095520098,-0.0006987225095520098,-0.004153803366560165,-0.022093263444337926,False,False,False,0.0006687966198866052,0.0006687966198866052,0.0006687966198866052,-0.0019319670740016825,0.006003265805158867,False,False,False,-0.0030462471965037553,-0.0030462471965037553,-0.0030462471965037553,-7.3513249936881174e-06,-0.00197485777030078,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
1,0.075409665,2.604491066,0.0032843117672688364,-0.0011564106680452824,0.018770532682538033,0.018806120887078157,-0.004339404404163361,0.008710856549441814,0.009731878154181018,50.616269103505836,50.616269103505836,50.616269103505836,43.500441333400715,0.12388642308576273,False,False,False,-0.0008067794312241552,-0.0008067794312241552,-0.0008067794312241552,-0.004152876911075815,-0.024940709031328577,False,False,False,0.0006760097294670417,0.0006760097294670417,0.0006760097294670417,-0.0019316305697879453,0.0061425330472208795,False,False,False,-0.003055308704440362,-0.003055308704440362,-0.003055308704440362,-7.351464142948835e-06,-0.0021236904849544977,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
2,0.117117977,2.604491066,0.004380815810242355,-0.0011437034700065851,0.01908702589571476,0.019121260815411493,-0.0043296716175973415,0.008982818573713303,0.009971814571304296,50.733279626190125,50.733279626190125,50.733279626190125,43.515346957594346,0.15409946902193386,False,False,False,-0.0008490428909380556,-0.0008490428909380556,-0.0008490428909380556,-0.0043798016197897,-0.026054408181656347,False,False,False,0.0005912680074443286,0.0005912680074443286,0.0005912680074443286,-0.0020729970266233338,0.004506380735643946,False,False,False,-0.0030551585709084777,-0.0030551585709084777,-0.0030551585709084777,-1.275378931081183e-05,-0.002121224583995496,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
3,0.178279362,2.604491066,0.00605481512312679,-0.001056251348927617,0.020439003594219685,0.02046627799177556,-0.004398665390908718,0.010044083930552006,0.010965029832387651,50.8955462926866,50.8955462926866,50.8955462926866,43.55369039550585,0.195998010591523,False,False,False,-0.0008619704130427222,-0.0008619704130427222,-0.0008619704130427222,-0.004666756818846749,-0.026395065820223388,False,False,False,0.0006299050104568346,0.0006299050104568346,0.0006299050104568346,-0.002009610265537338,0.005252365361426898,False,False,False,-0.0030589462058326394,-0.0030589462058326394,-0.0030589462058326394,2.219796258475155e-05,-0.0021834354204063873,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
4,0.2351323,2.604491066,0.007693579877540514,-0.0008625148329883814,0.022489176131784916,0.022505709829364843,-0.004272588528692722,0.011433145962655544,0.012205402055602405,51.06372215433082,51.06372215433082,51.06372215433082,43.598341916074,0.23942235326300462,False,False,False,-0.0008949081571954729,-0.0008949081571954729,-0.0008949081571954729,-0.005323380206785835,-0.02726301979098095,False,False,False,0.0006247626638858379,0.0006247626638858379,0.0006247626638858379,-0.0021390134403252493,0.005153079413156802,False,False,False,-0.0030776552565215088,-0.0030776552565215088,-0.0030776552565215088,-7.526099903917411e-05,-0.0024907263064375667,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
5,0.277980574,2.604491066,0.008966356695176408,-0.000807582400739193,0.023985362611711025,0.023998954330329662,-0.0045262486673891544,0.012312500737607479,0.013118102050701802,51.17656693631573,51.17656693631573,51.17656693631573,43.62586167961173,0.26855977187762087,False,False,False,-0.0009653385553841388,-0.0009653385553841388,-0.0009653385553841388,-0.005920488486090836,-0.029118955749630485,False,False,False,0.0006192626296372024,0.0006192626296372024,0.0006192626296372024,-0.0022803569757428852,0.005046887403661818,False,False,False,-0.0030730751162937066,-0.0030730751162937066,-0.0030730751162937066,1.949541625186709e-06,-0.0024154987937137036,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
6,0.334756151,2.604491066,0.010675827952365666,-0.0007763882167637348,0.024910024367272854,0.024922120548646277,-0.0047021289356052876,0.012801078148186207,0.013637361118743864,51.14569049237903,51.14569049237903,51.14569049237903,43.60101139476185,0.2605872289164881,False,False,False,-0.000880419658785573,-0.000880419658785573,-0.000880419658785573,-0.006095077338048026,-0.026881228321994233,False,False,False,0.0003624548018775841,0.0003624548018775841,0.0003624548018775841,-0.003007323153279436,8.856568219229432e-05,False,False,False,-0.003043662838066709,-0.003043662838066709,-0.003043662838066709,0.00015649873118426966,-0.0019324104111509868,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
7,0.395734102,2.604491066,0.012514414716153591,-0.0007783276960253716,0.0262514129281044,0.026262948705814568,-0.004873414058238268,0.013446290977299213,0.014302199328398154,50.94949557994827,50.94949557994827,50.94949557994827,43.495080109983355,0.2099281448808843,False,False,False,-0.0004738024683372022,-0.0004738024683372022,-0.0004738024683372022,-0.005527664579864965,-0.016166317082437705,False,False,False,-0.0001343789488671455,-0.0001343789488671455,-0.0001343789488671455,-0.004829253378370027,-0.009504060834561158,False,False,False,-0.0029454512077880315,-0.0029454512077880315,-0.0029454512077880315,0.0007904310677491716,-0.0003193120563073318,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
8,0.442220311,2.604491066,0.013895334792989239,-0.0007958703208714724,0.02725459635257721,0.027266214110315334,-0.005368523299694061,0.014108029194176197,0.015094950485612263,50.47598795162183,50.47598795162183,50.47598795162183,43.371888265104644,0.08766471593822994,False,False,False,-0.00023613217888857803,-0.00023613217888857803,-0.00023613217888857803,-0.005676500797105158,-0.009903384487498468,False,False,False,-0.0004030307182697318,-0.0004030307182697318,-0.0004030307182697318,-0.006491318984857474,-0.014691059670854125,False,False,False,-0.0028547604010238144,-0.0028547604010238144,-0.0028547604010238144,0.0013366455620757584,0.001170258891407243,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
9,0.464328077,2.604491066,0.014536047869878695,-0.0007948416750878096,0.027939334511756897,0.0279506383871336,-0.005781626794487238,0.014396234415471554,0.015513825245114125,49.94242000983561,49.94242000983561,49.94242000983561,43.24315229634152,-0.050106762775276356,False,False,False,0.00011299745774210739,0.00011299745774210739,0.00011299745774210739,-0.005013652369774751,-0.0007033478056469428,False,False,False,-0.0005259726728133608,-0.0005259726728133608,-0.0005259726728133608,-0.007952268536162923,-0.017064763654146213,False,False,False,-0.0027812760501131914,-0.0027812760501131914,-0.0027812760501131914,0.001816899513735619,0.0023772186498831715,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
