step,timestamp_ns,experiment_time_s,reference_index,tick_dt_ms,solver_ms,px4_collective_command_newton,px4_collective_normalized,px4_thrust_body_z,state_raw_0,state_raw_1,state_raw_2,state_raw_3,state_raw_4,state_raw_5,state_raw_6,state_raw_7,state_raw_8,state_raw_9,state_raw_10,state_raw_11,state_raw_12,state_raw_13,state_raw_14,state_raw_15,state_raw_16,state_raw_17,state_used_0,state_used_1,state_used_2,state_used_3,state_used_4,state_used_5,state_used_6,state_used_7,state_used_8,state_used_9,state_used_10,state_used_11,state_used_12,state_used_13,state_used_14,state_used_15,state_used_16,state_used_17,control_raw_0,control_raw_1,control_raw_2,control_raw_3,control_used_0,control_used_1,control_used_2,control_used_3,reference_0,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,reference_11,reference_12,reference_13,reference_14,reference_15,reference_16,reference_17
0,1775068593333596002,0.0,0,0.0,0.4271489960956387,42.454430456430096,0.6847488783295177,-0.6847488783295177,-0.017429253086447716,0.06704937666654587,0.014884382486343384,-0.009760929271578789,-0.005265151150524616,0.004231719300150871,0.9945942840958298,-0.10383777158546059,-0.00021328552092362294,0.10383770398504577,0.9945942667123074,-0.0003067715081727326,0.0002439869965764458,0.0002829661060336371,0.9999999302002655,-0.0004864997754339129,8.157614502124488e-05,0.000783355615567416,-0.017429253086447716,0.06704937666654587,0.014884382486343384,-0.009760929271578789,-0.005265151150524616,0.004231719300150871,0.9945942840958298,-0.10383777158546059,-0.00021328552092362294,0.10383770398504577,0.9945942667123074,-0.0003067715081727326,0.0002439869965764458,0.0002829661060336371,0.9999999302002655,-0.0004864997754339129,8.157614502124488e-05,0.000783355615567416,42.454430456430096,-0.0004739947128501571,0.0006683324118342514,-1.3131101903368764e-05,42.454430456430096,-0.0004739947128501571,0.0006683324118342514,-1.3131101903368764e-05,-0.02242911048233509,0.06823786348104477,0.012130394577980042,0.0,0.0,0.0,0.9946078021445811,-0.10370785849262257,0.0,0.10370785849262257,0.9946078021445811,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1775068593343609719,0.010013717,10,10.013717,0.29637500119861215,42.45379971505703,0.684738705081565,-0.684738705081565,-0.01718335971236229,0.06703638285398483,0.014907211065292358,-0.009475724771618843,-0.00525369169190526,0.004227180499583483,0.9945940989896153,-0.10383972737527736,-0.00022858999301466178,0.10383965221423552,0.9945940818687907,-0.0003192480445802755,0.00026050484134144177,0.0002937855110662249,0.9999999229136532,-0.00023134349612519145,0.00040438538417220116,-0.00019415428687352687,-0.01718335971236229,0.06703638285398483,0.014907211065292358,-0.009475724771618843,-0.00525369169190526,0.004227180499583483,0.9945940989896153,-0.10383972737527736,-0.00022858999301466178,0.10383965221423552,0.9945940818687907,-0.0003192480445802755,0.00026050484134144177,0.0002937855110662249,0.9999999229136532,-0.00023134349612519145,0.00040438538417220116,-0.00019415428687352687,42.45379971505703,-0.0004966336322898654,0.00046018060349377045,0.00013506719134248824,42.45379971505703,-0.0004966336322898654,0.00046018060349377045,0.00013506719134248824,-0.02242911048233509,0.06823786348104477,0.012130394577980042,0.0,0.0,0.0,0.9946078021445811,-0.10370785849262257,0.0,0.10370785849262257,0.9946078021445811,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,1775068593353521111,0.019925109,19,9.911392,0.30781899840803817,42.45308807893483,0.6847272270795941,-0.6847272270795941,-0.01670377142727375,0.06701120734214783,0.014969870448112488,-0.008952431380748749,-0.005187653005123138,0.004155667498707771,0.9945918068850532,-0.10386099452835351,-0.0002521476025180722,0.10386090703382345,0.9945917904340873,-0.00033834439933686303,0.00028592471217758417,0.0003103262879364235,0.9999999109723243,2.5542249204590917e-07,0.000954003888182342,0.0007161927642300725,-0.01670377142727375,0.06701120734214783,0.014969870448112488,-0.008952431380748749,-0.005187653005123138,0.004155667498707771,0.9945918068850532,-0.10386099452835351,-0.0002521476025180722,0.10386090703382345,0.9945917904340873,-0.00033834439933686303,0.00028592471217758417,0.0003103262879364235,0.9999999109723243,2.5542249204590917e-07,0.000954003888182342,0.0007161927642300725,42.45308807893483,-0.0004791029886907339,9.757416388755318e-05,1.562917085080986e-05,42.45308807893483,-0.0004791029886907339,9.757416388755318e-05,1.562917085080986e-05,-0.02242911048233509,0.06823786348104477,0.012130394577980042,0.0,0.0,0.0,0.9946078021445811,-0.10370785849262257,0.0,0.10370785849262257,0.9946078021445811,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,1775068593363672137,0.030076135,30,10.151026,0.39615199784748256,42.45181311607592,0.6847066631625148,-0.6847066631625148,-0.016469541937112808,0.06699899584054947,0.015001282095909119,-0.008608377538621426,-0.005119854584336281,0.004184315446764231,0.9945911378391415,-0.10386737909106003,-0.0002631149311033028,0.10386728366109832,0.9945911197543992,-0.00035359217121879154,0.0002984184562554318,0.0003243506058000199,0.9999999028715515,-0.000732939864974469,-7.786176865920424e-05,-0.0008241674513556063,-0.016469541937112808,0.06699899584054947,0.015001282095909119,-0.008608377538621426,-0.005119854584336281,0.004184315446764231,0.9945911378391415,-0.10386737909106003,-0.0002631149311033028,0.10386728366109832,0.9945911197543992,-0.00035359217121879154,0.0002984184562554318,0.0003243506058000199,0.9999999028715515,-0.000732939864974469,-7.786176865920424e-05,-0.0008241674513556063,42.45181311607592,-0.0002351213421020774,0.00022964565551818585,0.00025182089080752625,42.45181311607592,-0.0002351213421020774,0.00022964565551818585,0.00025182089080752625,-0.02242911048233509,0.06823786348104477,0.012130394577980042,0.0,0.0,0.0,0.9946078021445811,-0.10370785849262257,0.0,0.10370785849262257,0.9946078021445811,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,1775068593373549732,0.03995373,39,9.877595,0.2931850031018257,42.45179946185958,0.684706442933219,-0.684706442933219,-0.015944087877869606,0.06703061610460281,0.015029296278953552,-0.007862470112740993,-0.0050188349559903145,0.004122463054955006,0.9945893574520913,-0.10388546001710575,-0.00028699243138290164,0.10388535046324221,0.9945893402005846,-0.0003734207469096003,0.00032423251652922546,0.00034158598495652426,0.999999889096152,0.0008964494336396456,0.00013212510384619236,-0.0004883487126789987,-0.015944087877869606,0.06703061610460281,0.015029296278953552,-0.007862470112740993,-0.0050188349559903145,0.004122463054955006,0.9945893574520913,-0.10388546001710575,-0.00028699243138290164,0.10388535046324221,0.9945893402005846,-0.0003734207469096003,0.00032423251652922546,0.00034158598495652426,0.999999889096152,0.0008964494336396456,0.00013212510384619236,-0.0004883487126789987,42.45179946185958,-0.000545560828710339,-9.842324359728606e-05,0.0002159840446948603,42.45179946185958,-0.000545560828710339,-9.842324359728606e-05,0.0002159840446948603,-0.02242911048233509,0.06823786348104477,0.012130394577980042,0.0,0.0,0.0,0.9946078021445811,-0.10370785849262257,0.0,0.10370785849262257,0.9946078021445811,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,1775068593383616847,0.050020845,50,10.067115,0.35068599390797317,42.45117171012041,0.6846963179051679,-0.6846963179051679,-0.015686573460698128,0.06704587489366531,0.015043660998344421,-0.007541191298514605,-0.004982054233551025,0.004132562316954136,0.9945885967490489,-0.10389184330374235,-0.0003039068176702536,0.10389172675689307,0.9945885838933657,-0.0003770253267271488,0.0003414320801721905,0.0003434116850799707,0.9999998827462722,0.0008193413377739489,0.0009300842648372054,-9.354674693895504e-05,-0.015686573460698128,0.06704587489366531,0.015043660998344421,-0.007541191298514605,-0.004982054233551025,0.004132562316954136,0.9945885967490489,-0.10389184330374235,-0.0003039068176702536,0.10389172675689307,0.9945885838933657,-0.0003770253267271488,0.0003414320801721905,0.0003434116850799707,0.9999998827462722,0.0008193413377739489,0.0009300842648372054,-9.354674693895504e-05,42.45117171012041,-0.0004976462682268744,-0.00043730245738722936,0.00016190518564001546,42.45117171012041,-0.0004976462682268744,-0.00043730245738722936,0.00016190518564001546,-0.02242911048233509,0.06823786348104477,0.012130394577980042,0.0,0.0,0.0,0.9946078021445811,-0.10370785849262257,0.0,0.10370785849262257,0.9946078021445811,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,1775068593394019197,0.060423195,60,10.40235,0.36577599530573934,42.45071368221124,0.6846889303582457,-0.6846889303582457,-0.015432600863277912,0.06706114858388901,0.015058517456054688,-0.007216162979602814,-0.004896868485957384,0.004128266591578722,0.994588605672257,-0.10389167692508239,-0.00031885831759178836,0.10389154961436753,0.9945885925087254,-0.0003928208824462648,0.0003579436394168167,0.00035756848768364905,0.9999998720105601,-0.0002796757034957409,0.00010374747216701508,0.0008908862364478409,-0.015432600863277912,0.06706114858388901,0.015058517456054688,-0.007216162979602814,-0.004896868485957384,0.004128266591578722,0.994588605672257,-0.10389167692508239,-0.00031885831759178836,0.10389154961436753,0.9945885925087254,-0.0003928208824462648,0.0003579436394168167,0.00035756848768364905,0.9999998720105601,-0.0002796757034957409,0.00010374747216701508,0.0008908862364478409,42.45071368221124,-0.0001538773786947713,-0.0003644557706394182,1.4103248728682651e-05,42.45071368221124,-0.0001538773786947713,-0.0003644557706394182,1.4103248728682651e-05,-0.02242911048233509,0.06823786348104477,0.012130394577980042,0.0,0.0,0.0,0.9946078021445811,-0.10370785849262257,0.0,0.10370785849262257,0.9946078021445811,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,1775068593403522228,0.069926226,69,9.503031,0.275065001915209,42.44980418350762,0.6846742610243164,-0.6846742610243164,-0.015147019177675247,0.06710101664066315,0.015074342489242554,-0.0068655237555503845,-0.004762686789035797,0.004157849587500095,0.9945894099646523,-0.1038844266019181,-0.00032969039756890824,0.10388428754164458,0.9945893929124395,-0.0004141352562677873,0.0003709287129893134,0.0003776448842672468,0.999999859898117,-0.0018217545002698898,0.00019063557556364685,0.0013511442812159657,-0.015147019177675247,0.06710101664066315,0.015074342489242554,-0.0068655237555503845,-0.004762686789035797,0.004157849587500095,0.9945894099646523,-0.1038844266019181,-0.00032969039756890824,0.10388428754164458,0.9945893929124395,-0.0004141352562677873,0.0003709287129893134,0.0003776448842672468,0.999999859898117,-0.0018217545002698898,0.00019063557556364685,0.0013511442812159657,42.44980418350762,0.00032849993620057995,-0.0005173548911232191,-6.0772586484926826e-05,42.44980418350762,0.00032849993620057995,-0.0005173548911232191,-6.0772586484926826e-05,-0.02242911048233509,0.06823786348104477,0.012130394577980042,0.0,0.0,0.0,0.9946078021445811,-0.10370785849262257,0.0,0.10370785849262257,0.9946078021445811,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,1775068593413577805,0.079981803,79,10.055577,0.27540600422071293,42.44834768799762,0.6846507691612519,-0.6846507691612519,-0.01458729151636362,0.06718157976865768,0.01512552797794342,-0.006141786929219961,-0.004539612680673599,0.004163660109043121,0.99458812176518,-0.10389614382787271,-0.00036648758299163997,0.10389597783812232,0.9945881065566868,-0.00044615790084911663,0.0004108582475783433,0.0004056667614853319,0.9999998333149813,-5.669193342328072e-06,0.0014963924186304212,-7.557235221611336e-05,-0.01458729151636362,0.06718157976865768,0.01512552797794342,-0.006141786929219961,-0.004539612680673599,0.004163660109043121,0.99458812176518,-0.10389614382787271,-0.00036648758299163997,0.10389597783812232,0.9945881065566868,-0.00044615790084911663,0.0004108582475783433,0.0004056667614853319,0.9999998333149813,-5.669193342328072e-06,0.0014963924186304212,-7.557235221611336e-05,42.44834768799762,3.285654330787407e-05,-0.001148469997863997,0.00016265600252376005,42.44834768799762,3.285654330787407e-05,-0.001148469997863997,0.00016265600252376005,-0.02242911048233509,0.06823786348104477,0.012130394577980042,0.0,0.0,0.0,0.9946078021445811,-0.10370785849262257,0.0,0.10370785849262257,0.9946078021445811,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,1775068593423589428,0.089993426,89,10.011623,0.35364300129003823,42.448261264731784,0.6846493752376094,-0.6846493752376094,-0.014313490130007267,0.06722120940685272,0.015150889754295349,-0.005793254356831312,-0.004496125504374504,0.004111621528863907,0.9945870809525021,-0.10390642874730305,-0.00038205830738748266,0.10390625124813213,0.9945870672640322,-0.0004583490528940262,0.0004276156030764075,0.000416169797724726,0.9999998219737942,0.00018380890833213925,-2.720934571698308e-05,-0.0008838006760925055,-0.014313490130007267,0.06722120940685272,0.015150889754295349,-0.005793254356831312,-0.004496125504374504,0.004111621528863907,0.9945870809525021,-0.10390642874730305,-0.00038205830738748266,0.10390625124813213,0.9945870672640322,-0.0004583490528940262,0.0004276156030764075,0.000416169797724726,0.9999998219737942,0.00018380890833213925,-2.720934571698308e-05,-0.0008838006760925055,42.448261264731784,4.087321005824269e-05,-0.0009107403709447193,0.0002921542780226275,42.448261264731784,4.087321005824269e-05,-0.0009107403709447193,0.0002921542780226275,-0.02242911048233509,0.06823786348104477,0.012130394577980042,0.0,0.0,0.0,0.9946078021445811,-0.10370785849262257,0.0,0.10370785849262257,0.9946078021445811,0.0,0.0,0.0,1.0,0.0,0.0,0.0
