step,experiment_time_s,reference_index,raw_u2,used_u2,baseline_u2,raw_sign_match_u2,used_sign_match_u2,raw_magnitude_ratio_u2,used_magnitude_ratio_u2,anchor_delta_u2,lateral_position_residual_x,lateral_position_residual_y,lateral_position_residual_norm,lateral_velocity_residual_x,lateral_velocity_residual_y,lateral_velocity_residual_norm,state_group_x,state_group_dx,state_group_theta,state_group_wb,reference_group_x,reference_group_dx,reference_group_theta,reference_group_wb,pred_error_x,pred_error_dx,pred_error_theta,pred_error_wb
0,0.0,0,7.824065901531425e-05,7.824065901531425e-05,-0.00620496517876127,,,,,0.0,-0.009537242352962494,0.0080922432243824,0.012507733291916023,-0.014349556528031826,0.020771067589521408,0.025245732735645593,0.7440037886531791,0.02552635328519688,0.00042873005871526014,0.0006728274332459262,0.7500000000000091,0.0,7.89222612476751e-11,0.0,0.0003559987758267787,0.003246581379159005,6.423133637151314e-05,0.0017839249397471053
1,0.039538901,39,0.00017697996162331251,0.00017697996162331251,-0.006205104067450075,,,,,0.0,-0.009537242352962494,0.0080922432243824,0.012507733291916023,-0.014349556528031826,0.020771067589521408,0.025245732735645593,0.7440037886531791,0.02552635328519688,0.00042873005871526014,0.0006728274332459262,0.7500000000000091,0.0,7.89222612476751e-11,0.0,0.0002538508634706998,0.0020052050923453214,4.537154888307939e-05,0.0018783811804106972
2,0.046019286,46,0.00020147252318491123,0.00020147252318491123,-0.006362012843326656,,,,,0.0,-0.009568179491907358,0.008213609457015991,0.012610053096705782,-0.014275865629315376,0.020794808864593506,0.025223489353799658,0.7439317656732714,0.025499511886969094,0.0004312790250694819,0.0013432022062222866,0.7500000000000091,0.0,7.89222612476751e-11,0.0,0.000515444932364044,0.0010403624564882601,7.337513546286932e-05,0.0009141821172718417
3,0.059920297,59,0.0003053477331563056,0.0003053477331563056,-0.006218281487144125,,,,,0.0,-0.009714656975120306,0.008861642330884933,0.013149268608739627,-0.014036263339221478,0.021032510325312614,0.025286027349355505,0.7435443898306474,0.02558450605605658,0.00040354437695989454,0.0009574164384704412,0.7500000000000091,0.0,7.89222612476751e-11,0.0,0.0002678346193886728,0.0006340630652414728,4.951476141793419e-05,0.0005277591884649726
4,0.079901233,79,0.00041215546176449647,0.00041215546176449647,-0.0060308332692648615,,,,,0.0,-0.009734789608046412,0.009099721908569336,0.01332557944429529,-0.013718427158892155,0.021190272644162178,0.025243274321049513,0.7433857280964306,0.025559035354988106,0.000392558076494011,0.0006393349436796014,0.7500000000000091,0.0,7.89222612476751e-11,0.0,0.00029451418307856035,0.00020140076463396188,3.3475864519091935e-05,0.0014183720052242277
5,0.100147745,100,0.000492651411393147,0.000492651411393147,-0.005915460278991756,,,,,0.0,-0.009741756366565824,0.009252950549125671,0.013435732617542329,-0.01368718408048153,0.021252671256661415,0.02527874687552192,0.7432855353399749,0.025600404981198227,0.0003886357703879734,0.000966327348210348,0.7500000000000091,0.0,7.89222612476751e-11,0.0,0.0003734816124213884,0.0003612928672719094,3.297021784746009e-05,0.0008999589960127863
6,0.120761831,120,0.0004731389808779955,0.0004731389808779955,-0.00595988585110315,,,,,0.0,-0.009698596317321062,0.009341269731521606,0.013465589133914468,-0.013520823791623116,0.02124233916401863,0.025180342514813443,0.743231874102998,0.02550152743015016,0.0003740337481526927,0.0007451234158290055,0.7500000000000091,0.0,7.89222612476751e-11,0.0,0.0003657210997157175,0.00045634527991503666,4.8492939593448126e-05,0.0016596188738337988
7,0.140852432,140,0.0006430617690939146,0.0006430617690939146,-0.005574108910735361,,,,,0.0,-0.009662677068263292,0.009440436959266663,0.013508855543954465,-0.01347009651362896,0.021279122680425644,0.025184212557375782,0.7431997033230082,0.02551717734379295,0.0003594732691734253,0.0006054867890280024,0.7500000000000091,0.0,7.89222612476751e-11,0.0,0.0004339491618824542,0.0005772553613991282,3.444090828471631e-05,0.0012193729154140027
8,0.162274867,162,0.0005379515620483828,0.0005379515620483828,-0.005745479727807217,,,,,0.0,-0.009596994845196605,0.009472906589508057,0.013484742092909133,-0.01326129399240017,0.021089084446430206,0.024912073401094765,0.743217307748692,0.025240715176984733,0.00034235270629196586,0.001245311362399014,0.7500000000000091,0.0,7.89222612476751e-11,0.0,0.00039271478384940954,0.0005278622400009651,2.750565363209329e-05,0.0010511462799050759
9,0.185002993,185,0.0005318375754637645,0.0005318375754637645,-0.005745566550622679,,,,,0.0,-0.009596994845196605,0.009472906589508057,0.013484742092909133,-0.01326129399240017,0.021089084446430206,0.024912073401094765,0.743217307748692,0.025240715176984733,0.00034235270629196586,0.001245311362399014,0.7500000000000091,0.0,7.89222612476751e-11,0.0,0.0004206263817835065,0.0005515555312650435,3.145837147778845e-05,0.00261846769878453
10,0.209930362,209,0.0006953629280593162,0.0006953629280593162,-0.005331045525772157,,,,,0.0,-0.009537875885143876,0.009515572339296341,0.013472831675070787,-0.013107416220009327,0.02100365236401558,0.024757984017140428,0.7432336293155866,0.025072844981096323,0.00032533235448766,0.00124084797276048,0.7500000000000091,0.0,7.89222612476751e-11,0.0,0.00044299357737048685,0.0005793021314464595,2.4082863468945935e-05,0.0014968641875966744
