run_id,run_family,controller_variant,scenario,word_length,realizations,config_path,metrics_path,trajectory_path,control_path,timing_path,environment_path,figure_dir
20260404T064853Z_offline_quantized,learned,learned_edmd_mpc,hover_5s,12,1,/Users/maxheil/Documents/Github/QuantizedQuadrotorMPC/SITL V2/results/learned/quantized/wl_12/N_1/hover_5s/20260404T064853Z_offline_quantized/config.json,/Users/maxheil/Documents/Github/QuantizedQuadrotorMPC/SITL V2/results/learned/quantized/wl_12/N_1/hover_5s/20260404T064853Z_offline_quantized/metrics.json,,,,/Users/maxheil/Documents/Github/QuantizedQuadrotorMPC/SITL V2/results/learned/quantized/wl_12/N_1/hover_5s/20260404T064853Z_offline_quantized/environment.json,/Users/maxheil/Documents/Github/QuantizedQuadrotorMPC/SITL V2/results/learned/quantized/wl_12/N_1/hover_5s/20260404T064853Z_offline_quantized/figures
20260404T064947Z_offline_quantized,learned,learned_edmd_mpc,hover_5s,12,1,/Users/maxheil/Documents/Github/QuantizedQuadrotorMPC/SITL V2/results/learned/quantized/wl_12/N_1/hover_5s/20260404T064947Z_offline_quantized/config.json,/Users/maxheil/Documents/Github/QuantizedQuadrotorMPC/SITL V2/results/learned/quantized/wl_12/N_1/hover_5s/20260404T064947Z_offline_quantized/metrics.json,/Users/maxheil/Documents/Github/QuantizedQuadrotorMPC/SITL V2/results/learned/quantized/wl_12/N_1/hover_5s/20260404T064947Z_offline_quantized/trajectory.csv,/Users/maxheil/Documents/Github/QuantizedQuadrotorMPC/SITL V2/results/learned/quantized/wl_12/N_1/hover_5s/20260404T064947Z_offline_quantized/control.csv,/Users/maxheil/Documents/Github/QuantizedQuadrotorMPC/SITL V2/results/learned/quantized/wl_12/N_1/hover_5s/20260404T064947Z_offline_quantized/timing.csv,/Users/maxheil/Documents/Github/QuantizedQuadrotorMPC/SITL V2/results/learned/quantized/wl_12/N_1/hover_5s/20260404T064947Z_offline_quantized/environment.json,/Users/maxheil/Documents/Github/QuantizedQuadrotorMPC/SITL V2/results/learned/quantized/wl_12/N_1/hover_5s/20260404T064947Z_offline_quantized/figures
