step,experiment_time_s,replay_horizon_steps,one_step_error_x,one_step_error_dx,one_step_error_theta,one_step_error_wb,replay_error_x,replay_error_dx,replay_error_theta,replay_error_wb,control_internal_0,control_internal_near_lower_0,control_internal_near_upper_0,control_internal_1,control_internal_near_lower_1,control_internal_near_upper_1,control_internal_2,control_internal_near_lower_2,control_internal_near_upper_2,control_internal_3,control_internal_near_lower_3,control_internal_near_upper_3
0,0.073328147,10,0.00014381128565576928,0.004646822956265126,7.324158884327016e-05,0.0013398600102269116,0.00421001262208062,0.02759239066125566,0.0004970979648080749,0.003108092507492032,-0.26309410379873743,False,False,-0.0022019896647562293,False,False,0.008979625640842313,False,False,0.0015914163078532936,False,False
1,0.098909401,10,0.0001907319676560219,0.0039012573852787906,6.974961746004998e-05,0.0013624439428893968,0.004554192169923607,0.02493821705632223,0.0005143365310672296,0.003645780981595499,-0.45684062253812996,False,False,-0.00047802283288976083,False,False,0.012018963553700447,False,False,0.0015196977207323492,False,False
2,0.122290898,10,0.0002982494494286331,0.003297880615375368,6.09170853896287e-05,0.0014560989002495642,0.004503658512318947,0.022818450700184345,0.0004610987003228647,0.0042931995990374595,-0.6069010316628421,False,False,0.0007651073763467265,False,False,0.01189346998673367,False,False,0.001488458887507104,False,False
3,0.143677131,10,0.00030056104350908715,0.002870470990654766,5.141730409503132e-05,0.0016397385873982437,0.006690224441158885,0.021954139142515733,0.0005963531099976309,0.0063962017480153075,-0.7129318695492005,False,False,0.003141363290685588,False,False,0.011823877525642023,False,False,0.0014921697442015136,False,False
4,0.167953427,10,0.00043085252604512815,0.0026124533021709088,5.5100652137776395e-05,0.001105983204471458,0.006601760640399325,0.021072525528595676,0.0008133029724386344,0.010070418366744879,-0.7821243736912306,False,False,0.0054818090214602275,False,False,0.013650905840482277,False,False,0.00100733206397456,False,False
5,0.18992718,10,0.0004719977378563839,0.002375966371241776,5.13831350629378e-05,0.002613706682169021,0.006746299539958722,0.02027469048777511,0.0009263899435950133,0.010889830916204426,-0.8311500090419135,False,False,0.00584854230909228,False,False,0.016996953593924318,False,False,0.0006069964837832708,False,False
6,0.210697082,10,0.000504937477764552,0.0021254907422724725,5.378913903205142e-05,0.0008434576452734208,0.006818859284014024,0.0193112912397856,0.0007260266590958138,0.008723824137785174,-0.8873584464059459,False,False,0.0041678307343683925,False,False,0.015201020799702578,False,False,0.0006556884079306636,False,False
7,0.228449819,10,0.00020317231581710977,0.0019871563915344593,3.995170700781862e-05,0.0020775427745792913,0.006338705850957967,0.018787959583963128,0.0007017848244942183,0.010078541064171729,-0.9258053885189337,False,False,0.0046534364650107265,False,False,0.015514081233087167,False,False,0.000841711556416048,False,False
8,0.25162981,10,0.0007163861068916543,0.002028573440432176,5.080580433768332e-05,0.00142311040172907,0.006545213851545545,0.018726934932366244,0.00092833070321102,0.011970325967745481,-0.9477797193311711,False,False,0.005922928258535896,False,False,0.01676328922607836,False,False,0.00028787382441434323,False,False
9,0.268275413,10,0.00020942683862786685,0.001947635729203761,6.455976155893094e-05,0.002587223690099188,0.006825529619723185,0.018614144009025058,0.000958998116121117,0.010267397848034543,-0.9657450480479047,False,False,0.006591546254692989,False,False,0.015367760785560439,False,False,0.0002270704271427122,False,False
10,0.287291655,10,0.0006042255727993886,0.0017854004953424866,4.9065032196178346e-05,0.0008397522606666765,0.007063423557906586,0.01813107109384347,0.0006851049157894229,0.009238697839353372,-0.9909077611672783,False,False,0.0040658351418790505,False,False,0.01669917791592,False,False,0.0006455796863144687,False,False
11,0.300055205,10,0.00021481119962100874,0.001726178560602824,4.881280933054072e-05,0.00047397495385991293,0.007117991962536188,0.018220053103378757,0.0007911576645339962,0.010001288506349,-0.9993927415419441,False,False,0.00551307812456584,False,False,0.01674229125953636,False,False,0.0007535352484960172,False,False
12,0.321118169,10,0.0027824401314762,0.003170377737829099,0.00014356626632952012,0.0018238650900933167,0.007362011761462292,0.01835342889367375,0.0008538939191274755,0.011392229551937933,-1.0002084417569095,False,False,0.006550931970677859,False,False,0.01707274658628633,False,False,0.0007614206890245207,False,False
13,0.340123182,10,0.0002072754822206951,0.001705185695154094,6.295142844452183e-05,0.002383805813448493,0.0047528058961603305,0.01740651435762496,0.0009611911790675484,0.011890619824587719,-0.9941328220969166,False,False,0.008460513635660616,False,False,0.015577771167912105,False,False,0.00047358513669994477,False,False
14,0.360549485,10,0.0005775049313199632,0.0017218716384712882,7.26048008306359e-05,0.00048005105097548344,0.005609070487095315,0.01711493712327242,0.000748530668317997,0.010902322985739898,-1.0038804364547727,False,False,0.006088685874783777,False,False,0.016161392211451214,False,False,0.0006320901798677172,False,False
15,0.380162044,10,0.00056596733650977,0.001674061442270772,4.7726987475404584e-05,0.0031646669213303284,0.0054616140225306085,0.01700876446662988,0.000760390611701269,0.012246682292304988,-1.0050249739158403,False,False,0.006170265712650903,False,False,0.017590930084505064,False,False,0.0008056352542090663,False,False
16,0.400955105,10,0.00010726712008486885,0.0016277807036128738,6.126118054963352e-05,0.0009278574690751984,0.0055095286764018005,0.016890471678032842,0.0009176694185178263,0.010749825849267708,-1.011090988257828,False,False,0.0063945582159470726,False,False,0.01655164552203271,False,False,0.00015205074823641126,False,False
