word_length,matrix_a_difference_mean,matrix_a_difference_std,matrix_b_difference_mean,matrix_b_difference_std,prediction_error_mean,prediction_error_std,tracking_error_mean,tracking_error_std
4,3.386524312027282,0.41597306263970685,57.2051222472673,1.7336030424791196,0.6904993289014221,0.2808420725876302,1.3030948538339049,0.2949463167029281
8,1.0071083814925923,0.1642625347018117,3.7285582752142328,0.14396415124453146,0.047045019785525506,0.026176771476527687,0.6873388203265698,0.24651794997928864
12,0.0910956375125212,0.028182258270089567,0.04130378148916788,0.005553658765868968,0.02106132900792156,0.016850713981074624,0.11265703438891046,0.017264627944894206
14,0.02957703982927321,0.01636748276991151,0.012213945503907038,0.004569673643721853,0.02409391044998857,0.019149102824888808,0.056904271107795175,0.006105799974589921
16,0.08425587577646457,0.22363572296826695,0.026995627787180454,0.0701344770104489,0.023410976445082107,0.02346627300529123,0.05407495896697074,0.0016937503863855997
