step,timestamp_ns,experiment_time_s,reference_index,tick_dt_ms,solver_ms,px4_collective_command_newton,px4_collective_normalized,px4_thrust_body_z,state_raw_0,state_raw_1,state_raw_2,state_raw_3,state_raw_4,state_raw_5,state_raw_6,state_raw_7,state_raw_8,state_raw_9,state_raw_10,state_raw_11,state_raw_12,state_raw_13,state_raw_14,state_raw_15,state_raw_16,state_raw_17,state_used_0,state_used_1,state_used_2,state_used_3,state_used_4,state_used_5,state_used_6,state_used_7,state_used_8,state_used_9,state_used_10,state_used_11,state_used_12,state_used_13,state_used_14,state_used_15,state_used_16,state_used_17,control_raw_0,control_raw_1,control_raw_2,control_raw_3,control_internal_0,control_internal_1,control_internal_2,control_internal_3,control_used_0,control_used_1,control_used_2,control_used_3,reference_0,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,reference_11,reference_12,reference_13,reference_14,reference_15,reference_16,reference_17
0,1775097875684732504,0.0,0,0.0,23.688576999120414,48.451496389793064,0.7814757482224688,-0.7814757482224688,-0.014580391347408295,-0.04013144597411156,-0.04394100606441498,-0.019210444763302803,-0.012762133032083511,-0.0004910858697257936,0.9946567611866579,-0.10322868820171927,0.0013271488476474247,0.10322879839687427,0.9946576350353415,-1.4617878760388864e-05,-0.001318549752075935,0.00015153975548294618,0.9999991192307374,0.0007637480739504099,0.0007962411618791521,-0.0009006186155602336,-0.014580391347408295,-0.04013144597411156,-0.04394100606441498,-0.019210444763302803,-0.012762133032083511,-0.0004910858697257936,0.9946567611866579,-0.10322868820171927,0.0013271488476474247,0.10322879839687427,0.9946576350353415,-1.4617878760388864e-05,-0.001318549752075935,0.00015153975548294618,0.9999991192307374,0.0007637480739504099,0.0007962411618791521,-0.0009006186155602336,48.451496389793064,0.000136836809367213,9.062136190752992e-05,-0.002792105605292106,-0.4350750783275815,-7.514874601073278e-05,-0.005159863315411812,0.002199346257446283,48.451496389793064,0.000136836809367213,9.062136190752992e-05,-0.002792105605292106,-0.006967260967940092,-0.03849537670612335,-0.04895135760307312,0.0,0.0,0.0,0.9946540879315778,-0.10325780118350392,0.001051171874862731,0.10325749617205982,0.9946546167444849,0.00034055794139536966,-0.0010807182012034094,-0.0002301959850595746,0.9999993895288118,0.0,0.0,0.0
1,1775097875710378093,0.025645589,25,25.645589,4.441470002348069,47.325400521668506,0.7633129116398146,-0.7633129116398146,-0.014580391347408295,-0.04013144597411156,-0.04394100606441498,-0.019210444763302803,-0.012762133032083511,-0.0004910858697257936,0.9946567611866579,-0.10322868820171927,0.0013271488476474247,0.10322879839687427,0.9946576350353415,-1.4617878760388864e-05,-0.001318549752075935,0.00015153975548294618,0.9999991192307374,0.0007637480739504099,0.0007962411618791521,-0.0009006186155602336,-0.014580391347408295,-0.04013144597411156,-0.04394100606441498,-0.019210444763302803,-0.012762133032083511,-0.0004910858697257936,0.9946567611866579,-0.10322868820171927,0.0013271488476474247,0.10322879839687427,0.9946576350353415,-1.4617878760388864e-05,-0.001318549752075935,0.00015153975548294618,0.9999991192307374,0.0007637480739504099,0.0007962411618791521,-0.0009006186155602336,47.325400521668506,0.00022675831777260706,0.0001775771850345852,-0.002799447376706118,-0.7258419718656652,0.0022944042481172224,-0.0034809622072153852,0.002078759730616654,47.325400521668506,0.00022675831777260706,0.0001775771850345852,-0.002799447376706118,-0.006967260967940092,-0.03849537670612335,-0.04895135760307312,0.0,0.0,0.0,0.9946540879315778,-0.10325780118350392,0.001051171874862731,0.10325749617205982,0.9946546167444849,0.00034055794139536966,-0.0010807182012034094,-0.0002301959850595746,0.9999993895288118,0.0,0.0,0.0
2,1775097875724777677,0.040045173,40,14.399584,11.455061998276506,46.588780542880556,0.7514319442400089,-0.7514319442400089,-0.01497402973473072,-0.04010552540421486,-0.043029606342315674,-0.019229842349886894,-0.01241368893533945,2.5766908947844058e-05,0.9946558934086354,-0.10323734459733158,0.001328479462295598,0.10323749818956629,0.9946567635080599,-4.738100436119802e-05,-0.0013164895584986055,0.00018427664984914383,0.9999991164483132,-0.0004430591070558876,0.0003067441866733134,0.0009954378474503756,-0.01497402973473072,-0.04010552540421486,-0.043029606342315674,-0.019229842349886894,-0.01241368893533945,2.5766908947844058e-05,0.9946558934086354,-0.10323734459733158,0.001328479462295598,0.10323749818956629,0.9946567635080599,-4.738100436119802e-05,-0.0013164895584986055,0.00018427664984914383,0.9999991164483132,-0.0004430591070558876,0.0003067441866733134,0.0009954378474503756,46.588780542880556,0.0003816849309088866,0.0003509609098776689,-0.002844320979344989,-0.9160430986196162,0.006376929402968309,-0.00013335284289545834,0.0013417234510306728,46.588780542880556,0.0003816849309088866,0.0003509609098776689,-0.002844320979344989,-0.006967260967940092,-0.03849537670612335,-0.04895135760307312,0.0,0.0,0.0,0.9946540879315778,-0.10325780118350392,0.001051171874862731,0.10325749617205982,0.9946546167444849,0.00034055794139536966,-0.0010807182012034094,-0.0002301959850595746,0.9999993895288118,0.0,0.0,0.0
3,1775097875745250549,0.060518045,60,20.472872,9.027036998304538,46.037873347667116,0.7425463443172116,-0.7425463443172116,-0.01521520595997572,-0.04009142518043518,-0.04244837164878845,-0.01936766318976879,-0.012103584595024586,0.0004202338168397546,0.9946551820570411,-0.10324459317277723,0.0013314663330156358,0.10324477505360474,0.9946560519890293,-6.841554336970909e-05,-0.0013172874263033575,0.00020551671229307109,0.9999991112580242,0.00019818503642454743,0.00012323383998591453,-0.0006445726612582803,-0.01521520595997572,-0.04009142518043518,-0.04244837164878845,-0.01936766318976879,-0.012103584595024586,0.0004202338168397546,0.9946551820570411,-0.10324459317277723,0.0013314663330156358,0.10324477505360474,0.9946560519890293,-6.841554336970909e-05,-0.0013172874263033575,0.00020551671229307109,0.9999991112580242,0.00019818503642454743,0.00012323383998591453,-0.0006445726612582803,46.037873347667116,0.00041433068636249177,0.0004401985127436888,-0.0028249925796568934,-1.0582917102291853,0.007237189077793989,0.001589603768367282,0.001659186969864012,46.037873347667116,0.00041433068636249177,0.0004401985127436888,-0.0028249925796568934,-0.006967260967940092,-0.03849537670612335,-0.04895135760307312,0.0,0.0,0.0,0.9946540879315778,-0.10325780118350392,0.001051171874862731,0.10325749617205982,0.9946546167444849,0.00034055794139536966,-0.0010807182012034094,-0.0002301959850595746,0.9999993895288118,0.0,0.0,0.0
4,1775097875765326348,0.080593844,80,20.075799,7.333433000894729,45.67748785854485,0.7367336751378202,-0.7367336751378202,-0.015298849903047085,-0.040084805339574814,-0.04224315285682678,-0.019347984343767166,-0.012057889252901077,0.0005257039447315037,0.9946538955713204,-0.10325644898108899,0.0013237749236414686,0.10325663781541339,0.9946547540453257,-7.492348181647318e-05,-0.001308962677999466,0.00021121146795083368,0.9999991210028328,-0.00020443942048586905,0.00021067385387141258,-0.0004672944196499884,-0.015298849903047085,-0.040084805339574814,-0.04224315285682678,-0.019347984343767166,-0.012057889252901077,0.0005257039447315037,0.9946538955713204,-0.10325644898108899,0.0013237749236414686,0.10325663781541339,0.9946547540453257,-7.492348181647318e-05,-0.001308962677999466,0.00021121146795083368,0.9999991210028328,-0.00020443942048586905,0.00021067385387141258,-0.0004672944196499884,45.67748785854485,0.00047806864895124995,0.0004791087435538873,-0.0028319672206107388,-1.1513461047211944,0.008916770334493057,0.0023408637447344706,0.0015446304573985404,45.67748785854485,0.00047806864895124995,0.0004791087435538873,-0.0028319672206107388,-0.006967260967940092,-0.03849537670612335,-0.04895135760307312,0.0,0.0,0.0,0.9946540879315778,-0.10325780118350392,0.001051171874862731,0.10325749617205982,0.9946546167444849,0.00034055794139536966,-0.0010807182012034094,-0.0002301959850595746,0.9999993895288118,0.0,0.0,0.0
5,1775097875785471000,0.100738496,100,20.144652,6.294286002230365,45.42646691091608,0.7326849501760658,-0.7326849501760658,-0.015469787642359734,-0.040075141936540604,-0.041846126317977905,-0.01946612074971199,-0.011823541484773159,0.0007588564185425639,0.9946531308593572,-0.10326493803687353,0.0013130796281748819,0.10326513474113197,0.9946539737209908,-8.271740320300175e-05,-0.0012975179400542616,0.00021787031454027772,0.9999991344895733,-0.0003422848822083324,-2.2984975657891482e-05,0.000623825064394623,-0.015469787642359734,-0.040075141936540604,-0.041846126317977905,-0.01946612074971199,-0.011823541484773159,0.0007588564185425639,0.9946531308593572,-0.10326493803687353,0.0013130796281748819,0.10326513474113197,0.9946539737209908,-8.271740320300175e-05,-0.0012975179400542616,0.00021787031454027772,0.9999991344895733,-0.0003422848822083324,-2.2984975657891482e-05,0.000623825064394623,45.42646691091608,0.0005206179302336942,0.0005571940129624569,-0.0028547780497483067,-1.2161617063240662,0.010038001268545765,0.0038484964785688823,0.0011699690160802262,45.42646691091608,0.0005206179302336942,0.0005571940129624569,-0.0028547780497483067,-0.006967260967940092,-0.03849537670612335,-0.04895135760307312,0.0,0.0,0.0,0.9946540879315778,-0.10325780118350392,0.001051171874862731,0.10325749617205982,0.9946546167444849,0.00034055794139536966,-0.0010807182012034094,-0.0002301959850595746,0.9999993895288118,0.0,0.0,0.0
6,1775097875804636078,0.119903574,119,19.165078,6.081876999814995,45.17360373100178,0.7286065117903513,-0.7286065117903513,-0.015820086002349854,-0.04003840312361717,-0.04102148115634918,-0.019553225487470627,-0.011340939439833164,0.001292392727918923,0.9946532505541201,-0.10326439510100882,0.001307910171424377,0.10326460976514551,0.9946540834016444,-9.74937076189987e-05,-0.0012908503829368277,0.00023203303302005845,0.9999991399327408,0.0006838301778770983,-0.0004361475585028529,-0.000667580752633512,-0.015820086002349854,-0.04003840312361717,-0.04102148115634918,-0.019553225487470627,-0.011340939439833164,0.001292392727918923,0.9946532505541201,-0.10326439510100882,0.001307910171424377,0.10326460976514551,0.9946540834016444,-9.74937076189987e-05,-0.0012908503829368277,0.00023203303302005845,0.9999991399327408,0.0006838301778770983,-0.0004361475585028529,-0.000667580752633512,45.17360373100178,0.0004961080950761204,0.0006378329243078313,-0.002831580152594791,-1.281452986929058,0.009392134063767783,0.005405433699710305,0.0015509879404987175,45.17360373100178,0.0004961080950761204,0.0006378329243078313,-0.002831580152594791,-0.006967260967940092,-0.03849537670612335,-0.04895135760307312,0.0,0.0,0.0,0.9946540879315778,-0.10325780118350392,0.001051171874862731,0.10325749617205982,0.9946546167444849,0.00034055794139536966,-0.0010807182012034094,-0.0002301959850595746,0.9999993895288118,0.0,0.0,0.0
7,1775097875824734373,0.140001869,140,20.098295,7.578789998660795,44.97643353653436,0.7254263473634573,-0.7254263473634573,-0.01614363119006157,-0.04002658650279045,-0.04035863280296326,-0.019725721329450607,-0.011036865413188934,0.0017161399591714144,0.9946516374495251,-0.10327926375593566,0.0013017262131442692,0.10327948270400533,0.9946524612928125,-0.00010193479551876689,-0.001284237334382786,0.00023583109528170498,0.9999991475587883,0.0005238421726971865,-0.00013036576274316758,-0.00015803069982212037,-0.01614363119006157,-0.04002658650279045,-0.04035863280296326,-0.019725721329450607,-0.011036865413188934,0.0017161399591714144,0.9946516374495251,-0.10327926375593566,0.0013017262131442692,0.10327948270400533,0.9946524612928125,-0.00010193479551876689,-0.001284237334382786,0.00023583109528170498,0.9999991475587883,0.0005238421726971865,-0.00013036576274316758,-0.00015803069982212037,44.97643353653436,0.0005445998231679745,0.0006427443241041338,-0.002836585162232294,-1.332363896529565,0.010669956483877443,0.005500260639002913,0.0014687820674333491,44.97643353653436,0.0005445998231679745,0.0006427443241041338,-0.002836585162232294,-0.006967260967940092,-0.03849537670612335,-0.04895135760307312,0.0,0.0,0.0,0.9946540879315778,-0.10325780118350392,0.001051171874862731,0.10325749617205982,0.9946546167444849,0.00034055794139536966,-0.0010807182012034094,-0.0002301959850595746,0.9999993895288118,0.0,0.0,0.0
8,1775097875844629896,0.159897392,159,19.895523,7.038199000817258,44.863299715560224,0.7236016083154875,-0.7236016083154875,-0.016357384622097015,-0.04003749042749405,-0.03991040587425232,-0.019923800602555275,-0.01087244413793087,0.002002500928938389,0.9946517324671305,-0.10327907915349988,0.0013088849135156622,0.10327932464046263,0.994652560789379,-0.00012119156055695468,-0.0012893689927942487,0.00025572389720140976,0.9999991360662084,-0.00033212589914910495,-0.0002064269792754203,0.0006578716565854847,-0.016357384622097015,-0.04003749042749405,-0.03991040587425232,-0.019923800602555275,-0.01087244413793087,0.002002500928938389,0.9946517324671305,-0.10327907915349988,0.0013088849135156622,0.10327932464046263,0.994652560789379,-0.00012119156055695468,-0.0012893689927942487,0.00025572389720140976,0.9999991360662084,-0.00033212589914910495,-0.0002064269792754203,0.0006578716565854847,44.863299715560224,0.0006194405808040407,0.0006863852685785148,-0.0028521648129040678,-1.3615759473059592,0.012642111360771247,0.006342858953939457,0.0012128906949312698,44.863299715560224,0.0006194405808040407,0.0006863852685785148,-0.0028521648129040678,-0.006967260967940092,-0.03849537670612335,-0.04895135760307312,0.0,0.0,0.0,0.9946540879315778,-0.10325780118350392,0.001051171874862731,0.10325749617205982,0.9946546167444849,0.00034055794139536966,-0.0010807182012034094,-0.0002301959850595746,0.9999993895288118,0.0,0.0,0.0
9,1775097875864775988,0.180043484,180,20.146092,7.521886996983085,44.673122727684664,0.720534237543301,-0.720534237543301,-0.016674932092428207,-0.0400814414024353,-0.03921222686767578,-0.02006208524107933,-0.010717698372900486,0.0022384023759514093,0.99464963481447,-0.10329837948844123,0.0013025410867738285,0.10329861907213478,0.9946504558215514,-0.00011784134019031736,-0.0012834001881082795,0.0002517614373875182,0.9999991447497595,0.0014390237629413605,-0.0002946246531791985,-0.0011343139922246337,-0.016674932092428207,-0.0400814414024353,-0.03921222686767578,-0.02006208524107933,-0.010717698372900486,0.0022384023759514093,0.99464963481447,-0.10329837948844123,0.0013025410867738285,0.10329861907213478,0.9946504558215514,-0.00011784134019031736,-0.0012834001881082795,0.0002517614373875182,0.9999991447497595,0.0014390237629413605,-0.0002946246531791985,-0.0011343139922246337,44.673122727684664,0.0005489473578772139,0.0006901252135527863,-0.0028174923639216892,-1.4106811554434335,0.010784519885560052,0.0064150680083316335,0.0017823759000253415,44.673122727684664,0.0005489473578772139,0.0006901252135527863,-0.0028174923639216892,-0.006967260967940092,-0.03849537670612335,-0.04895135760307312,0.0,0.0,0.0,0.9946540879315778,-0.10325780118350392,0.001051171874862731,0.10325749617205982,0.9946546167444849,0.00034055794139536966,-0.0010807182012034094,-0.0002301959850595746,0.9999993895288118,0.0,0.0,0.0
