step,experiment_time_s,replay_horizon_steps,one_step_error_x,one_step_error_dx,one_step_error_theta,one_step_error_wb,replay_error_x,replay_error_dx,replay_error_theta,replay_error_wb,control_internal_0,control_internal_near_lower_0,control_internal_near_upper_0,control_internal_1,control_internal_near_lower_1,control_internal_near_upper_1,control_internal_2,control_internal_near_lower_2,control_internal_near_upper_2,control_internal_3,control_internal_near_lower_3,control_internal_near_upper_3
11,0.544137142,10,0.00034769805416520473,0.0015646754712145697,8.620715057556982e-05,0.0021137982647614997,0.022912459329039254,0.01655220956557955,0.0024736168456969605,0.02722608499711903,-1.0838128871154111,False,False,0.006283061099445378,False,False,0.04395638230682368,False,False,0.0009331822614279843,False,False
12,0.593939644,10,0.0022711553490526388,0.0018343195926375916,0.00019669141558390478,0.002802840910792741,0.02346635360114229,0.017450187904184473,0.0026020895005265197,0.03104221039632027,-1.1090727910822664,False,False,0.007619391840340955,False,False,0.044513452709814556,False,False,0.001338531016123268,False,False
13,0.650347671,10,0.0030760402182213637,0.0023023561880946026,0.0002224654001200703,0.0025754309339439314,0.025875090051140175,0.019123456674595342,0.0024536360402887944,0.030872623862538313,-1.155727697901169,False,False,0.007877379850902415,False,False,0.04375999090843773,False,False,0.0015958067479017724,False,False
14,0.712571329,10,0.003212893690545343,0.0025511771145202283,0.00021486507210081562,0.0017596573760868658,0.02269372993432501,0.01819518381218065,0.0022148497995405007,0.03131071141950123,-1.22810459443429,False,False,0.006754071713742347,False,False,0.04638241030471908,False,False,0.0018140068640437657,False,False
15,0.760648925,10,0.0034341084965508035,0.0024129515888476716,0.0002280116025703677,0.0023312868085926396,0.019604139902786196,0.017093953716191657,0.002163507196764028,0.03439131309352052,-1.3039949841633756,False,False,0.008087204247357264,False,False,0.04842174593797314,False,False,0.0018894759339725038,False,False
16,0.814031043,10,0.002895626672676843,0.0022910572858149286,0.0001977211694845628,0.002635838030643574,0.016830465058621357,0.015615096882482285,0.0020688044173883006,0.03422706609807838,-1.3823888709708192,False,False,0.010614237586545103,False,False,0.048394493798271314,False,False,0.0023746644047823386,False,False
17,0.840763852,10,0.000875398249162031,0.0008277073420910836,8.412259919141178e-05,0.0022636523511722624,0.015115126275587143,0.01380929505430225,0.001871190442101264,0.03304406538552585,-1.4701706037968783,False,False,0.010621447034834334,False,False,0.05058166713383591,False,False,0.002660575466154289,False,False
18,0.889269449,10,0.00357354039382348,0.0029317840329700032,0.00020796168709396,0.0031318666539800538,0.015188522793775316,0.011906888127779694,0.0019697566452458663,0.03362407181169828,-1.5313626714227355,False,False,0.01231571034792896,False,False,0.05127190200466089,False,False,0.0025356509886577784,False,False
19,0.924803327,10,0.0016014623378629612,0.0017493604130665438,0.00010491250824320771,0.0024527909758568023,0.012520022827012547,0.007823652884874079,0.0017161095721967257,0.031783968557141835,-1.615777505241843,True,False,0.011873771331480418,False,False,0.054055004571866676,False,False,0.002996258776633694,False,False
20,0.950875069,10,0.001084271144850003,0.0016241454300653976,9.191907427430114e-05,0.003773113570045804,0.010795748730697202,0.006214313016267988,0.0018086610179214528,0.03041044702726355,-1.6729849799953562,True,False,0.014765772103865657,False,False,0.054364066907041333,False,False,0.002815460609709406,False,False
21,0.97988044,10,0.0006619942392723847,0.0016458149007854517,7.464250180534543e-05,0.003554265110952461,0.010277249956408701,0.010772539159351427,0.0015604908471861018,0.023975678827742243,-1.7295271061618012,True,False,0.01589283730820889,False,False,0.0518637083392517,False,False,0.0030779128449394725,False,False
22,1.001364371,10,0.004571655022632348,0.003256243993440419,8.306246085256772e-05,0.0026194040048512597,0.009830937392825796,0.018298641055024923,0.0014168933850943115,0.01923121583837415,-1.7808661616615618,True,False,0.01539426720396349,False,False,0.052956477557880556,False,False,0.0029090555306596584,False,False
23,1.04825947,10,0.00019653407171579186,0.0018592507994980344,6.073002908685009e-05,0.003116224899539078,0.005570430659508676,0.027505291443723646,0.0013505405493067053,0.016606258179105243,-1.8259052631787316,True,False,0.01621843143341382,False,False,0.054255921133774046,False,False,0.0028124834227940933,False,False
24,1.104234252,10,0.00015690049475895268,0.001319149427450785,6.608214536799589e-05,0.004190258673914478,0.005719931569312795,0.038566175307291596,0.001267221475028617,0.016371346232325012,-1.692003637426803,True,False,0.010002350010072188,False,False,0.05120053302452949,False,False,0.0013046034953838373,False,False
25,1.121601462,10,0.0006837418655731785,0.0004884512672625577,6.485929110706247e-05,0.0011945485223344107,0.00590250817710475,0.05007011547164748,0.0012057711038670098,0.02467777736028341,-1.425305252614934,False,False,-0.0009659078848053555,False,False,0.04518322472669265,False,False,-0.00013659669859714102,False,False
26,1.168013557,10,0.0012341247746816626,0.0008516059267305146,6.807640265801601e-05,0.0022908196828101395,0.00563393413801436,0.056378354890649414,0.0015233503919197446,0.03522883899773264,-1.1790898641568945,False,False,-0.005503049655670297,False,False,0.04519230241688616,False,False,-0.0006244707441886996,False,False
27,1.202402743,10,0.0009125722678816774,0.0018888536306537426,0.00010139566778533891,0.0018246164320225133,0.004857355798792327,0.055389783017465596,0.0018607900186967832,0.04670324973208972,-0.8502286274619645,False,False,-0.01204690171320153,False,False,0.03881746728431393,False,False,-0.0017321962820701353,False,False
28,1.237154347,10,0.001107762482236643,0.003242470979806228,8.765437498527972e-05,0.0026688789737044994,0.005869920053445416,0.024537920493252863,0.003380543558193275,0.07122623148796958,-0.526963946052209,False,False,-0.020485741565095698,False,False,0.03515653361759492,False,False,-0.002713590905038104,False,False
29,1.257666247,10,4.079197754985655e-05,0.0045502061327724035,0.00011303790041852535,0.0019593302063364826,0.007731447572709314,0.0689944650912772,0.004512689299812159,0.08636128778297124,-0.20072607865771888,False,False,-0.027605739103400518,False,False,0.028188689076557992,False,False,-0.003509604226637309,False,False
30,1.290361005,10,0.0007100127832593494,0.005711951916059893,0.00014029817945965164,0.0038900130482931103,0.013430513813346888,0.13490398869173945,0.006128315460289455,0.10128621997889577,0.07990783314913788,False,False,-0.03468854588804425,False,False,0.027227413827772384,False,False,-0.004400155775556568,False,False
31,1.319835825,10,0.00038380882298699785,0.00690845022977807,0.00015446492623342523,0.0032437566828522925,0.022045386776799746,0.21791451530508474,0.0074311891281964425,0.1067998717925293,0.39004242493871516,False,False,-0.04010409879526523,False,False,0.0224805115234752,False,False,-0.004764027036993303,False,False
32,1.353386081,10,0.0007053106920657655,0.008212654083710736,0.00015228430799749346,0.004153716954147502,0.027473623392516546,0.26527592159329505,0.008342712606304741,0.11335363494307245,0.6962934536302597,False,False,-0.04652299999319038,False,False,0.018643410737707623,False,False,-0.005366034406483473,False,False
33,1.374183496,10,0.00028712005669143294,0.009377678562418175,0.0001644379471756423,0.00469153494144508,0.04627647255921355,0.39146576035142483,0.010178769041875898,0.11776072702035409,1.0103629116003374,False,False,-0.053697380288147564,False,False,0.01248859777827888,False,False,-0.006063915437205334,False,False
34,1.423001605,10,0.0005829431882593789,0.010723830837071862,0.00016280653367338523,0.006870881723185307,0.06597096011460485,0.49246663638718763,0.011708308069823162,0.11527655111841022,1.286021846725004,False,False,-0.05945979638649908,False,False,0.007874572764205076,False,False,-0.006734722747513038,False,False
35,1.47073975,10,0.0005787736031681463,0.006275873101877473,0.00024299527503797368,0.010858250332671104,0.0717171132565688,0.5271675224554406,0.012070025201408888,0.10948286190772076,1.6613602420928706,False,False,-0.06660529866256777,False,False,0.0032096448826697027,False,False,-0.008051846919908045,False,False
36,1.489959501,10,0.0003899776113221141,0.0002597658430224039,0.00027191913961924176,0.012369623116056652,0.10862704104677667,0.6294610660712018,0.012982994667803643,0.09517816073995039,2.0187673963725867,False,False,-0.06930228437666405,False,False,-0.01689367443991551,False,False,-0.008166322327611287,False,False
37,1.555795523,10,0.004368169279545052,0.07716909752274437,0.0014741353957351373,0.02341395829642558,0.16150558656681724,0.6188264422443918,0.013347282343731412,0.06402324014678965,2.223791016422608,False,False,-0.06232691591278119,False,False,-0.03348751623025868,False,False,-0.0075708636258319025,False,False
