step,experiment_time_s,divergence_time_s,baseline_z_error_integral,lateral_position_residual_x,lateral_position_residual_y,lateral_position_residual_norm,lateral_velocity_residual_x,lateral_velocity_residual_y,lateral_velocity_residual_norm,learned_control_0,raw_control_0,used_control_0,baseline_control_0,control_internal_0,control_internal_near_lower_0,control_internal_near_upper_0,control_internal_near_bound_0,learned_control_1,raw_control_1,used_control_1,baseline_control_1,control_internal_1,control_internal_near_lower_1,control_internal_near_upper_1,control_internal_near_bound_1,learned_control_2,raw_control_2,used_control_2,baseline_control_2,control_internal_2,control_internal_near_lower_2,control_internal_near_upper_2,control_internal_near_bound_2,learned_control_3,raw_control_3,used_control_3,baseline_control_3,control_internal_3,control_internal_near_lower_3,control_internal_near_upper_3,control_internal_near_bound_3,u1_active_threshold_nm,u1_baseline_active,u1_raw_active,u1_used_active,u1_raw_overlap_active,u1_used_overlap_active,u1_raw_sign_match,u1_used_sign_match,u1_raw_magnitude_ratio,u1_used_magnitude_ratio,u1_anchor_applied,u1_anchor_delta,u1_anchor_sign_flip,u2_active_threshold_nm,u2_baseline_active,u2_raw_active,u2_used_active,u2_raw_overlap_active,u2_used_overlap_active,u2_raw_sign_match,u2_used_sign_match,u2_raw_magnitude_ratio,u2_used_magnitude_ratio,u2_anchor_applied,u2_anchor_delta,u2_anchor_sign_flip,u3_active_threshold_nm,u3_baseline_active,u3_raw_active,u3_used_active,u3_raw_overlap_active,u3_used_overlap_active,u3_raw_sign_match,u3_used_sign_match,u3_raw_magnitude_ratio,u3_used_magnitude_ratio,u3_anchor_applied,u3_anchor_delta,u3_anchor_sign_flip
0,0.0,3.800817974,-0.0005274136277542263,-0.013719724491238594,0.0005151815712451935,0.01372939372903417,0.002089244080707431,-0.006933036260306835,0.007240989753859649,49.12856381933719,49.12856381933719,49.12856381933719,42.47685898301594,-0.2602508925926398,False,False,False,0.00010329414035925115,0.00010329414035925115,0.00010329414035925115,0.0022015883597635,-0.0009590433023668533,False,False,False,0.002024307274053082,0.002024307274053082,0.002024307274053082,-0.003589305755568675,0.032174811972077756,False,False,False,-0.0028549940973049306,-0.0028549940973049306,-0.0028549940973049306,0.0001241160245948063,0.0011664204958370648,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
1,0.078062027,3.800817974,-0.001408612851510793,-0.013719724491238594,0.0005151815712451935,0.01372939372903417,0.002089244080707431,-0.006933036260306835,0.007240989753859649,48.45095172427636,48.45095172427636,48.45095172427636,42.472269699598186,-0.4352157152882474,False,False,False,0.0001582178038638518,0.0001582178038638518,0.0001582178038638518,0.0022017484647733543,0.0004882692885104132,False,False,False,0.0022569658308384077,0.0022569658308384077,0.0022569658308384077,-0.003589432964545712,0.036666871212866325,False,False,False,-0.002859899479532587,-0.002859899479532587,-0.002859899479532587,0.00012411602147796097,0.0010858509749070188,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
2,0.107757438,3.800817974,-0.0017486295143597722,-0.01388916140422225,0.0005275644361972809,0.013899177268704689,0.0019109437707811594,-0.0069170258939266205,0.0071761377712763206,47.94778582324082,47.94778582324082,47.94778582324082,42.46527456363414,-0.5651371457096669,False,False,False,0.00013612459662390195,0.00013612459662390195,0.00013612459662390195,0.0019706980253013143,-9.391651212471322e-05,False,False,False,0.002396933556803393,0.002396933556803393,0.002396933556803393,-0.0035005271398097218,0.039369300581983895,False,False,False,-0.0028570562994305083,-0.0028570562994305083,-0.0028570562994305083,0.00021887128304775845,0.0011325494069783905,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
3,0.159060978,3.800817974,-0.002365926052769363,-0.014529419597238302,0.0005592666566371918,0.014540179263882498,0.0011330359848216176,-0.006843537092208862,0.0069366973752167695,47.53671144366624,47.53671144366624,47.53671144366624,42.44189361358643,-0.6712798141496633,False,False,False,0.00015642835308076467,0.00015642835308076467,0.00015642835308076467,0.001766705527703445,0.0004411148475307025,False,False,False,0.0023784187852800417,0.0023784187852800417,0.0023784187852800417,-0.00400269796766954,0.03901182630009321,False,False,False,-0.0028732140210947542,-0.0028732140210947542,-0.0028732140210947542,7.600243284182596e-05,0.0008671633813044447,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
4,0.214636311,3.800817974,-0.003081475339263782,-0.01539357379078865,0.0006172284483909607,0.015405943171710013,0.0001639111724216491,-0.006781417410820723,0.006783398040232275,47.25558570425955,47.25558570425955,47.25558570425955,42.409037258436264,-0.7438687119999111,False,False,False,0.00020512275309061842,0.00020512275309061842,0.00020512275309061842,0.0018507589556261601,0.0017242779459567938,False,False,False,0.002589810175188447,0.002589810175188447,0.002589810175188447,-0.004082318636564797,0.04309326933653984,False,False,False,-0.00288205890580923,-0.00288205890580923,-0.00288205890580923,2.759069418389317e-05,0.0007218886420376428,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
5,0.26472936,3.800817974,-0.0037564068124080006,-0.01586943818256259,0.0007788054645061493,0.01588853694276852,-0.0004050848074257374,-0.006507189478725195,0.0065197859330839245,46.929431748923506,46.929431748923506,46.929431748923506,42.386640178960754,-0.8280842526946505,False,False,False,0.00017856429445742744,0.00017856429445742744,0.00017856429445742744,0.0012278705791485029,0.001024426750289728,False,False,False,0.002418142159216079,0.002418142159216079,0.002418142159216079,-0.004652247000508376,0.039778786051886575,False,False,False,-0.0028768861519407603,-0.0028768861519407603,-0.0028768861519407603,2.7681149115040155e-05,0.0008068496668323932,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
6,0.31389133,3.800817974,-0.004450382510946423,-0.016233667731285095,0.0010632649064064026,0.016268451071658984,-0.000865306006744504,-0.006071342155337334,0.006132695170354084,46.83400384957369,46.83400384957369,46.83400384957369,42.36288227039568,-0.8527244939354085,False,False,False,0.0003577402231676886,0.0003577402231676886,0.0003577402231676886,0.0018719431950450793,0.0057459540676138236,False,False,False,0.0025133570101075913,0.0025133570101075913,0.0025133570101075913,-0.0046200047444723,0.04161714848616477,False,False,False,-0.002867328891676943,-0.002867328891676943,-0.002867328891676943,0.0001301543727944709,0.0009638249737754782,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
7,0.36048984,3.800817974,-0.005134760324964702,-0.016506253508850932,0.0014131702482700348,0.016566636805611733,-0.0011246170615777373,-0.005574807990342379,0.00568711241882706,46.68244363167999,46.68244363167999,46.68244363167999,42.341751509994495,-0.8918585454742888,False,False,False,0.00030890977120211455,0.00030890977120211455,0.00030890977120211455,0.001358412278357987,0.004459205816705853,False,False,False,0.0025953829483914637,0.0025953829483914637,0.0025953829483914637,-0.004561914032723103,0.04320086575469577,False,False,False,-0.002859528582562055,-0.002859528582562055,-0.002859528582562055,0.00015370488228367153,0.0010919428531426627,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
8,0.413616571,3.800817974,-0.005967006118391931,-0.01689659641124308,0.0020996779203414917,0.017026556247626886,-0.0014345452655106783,-0.004783676937222481,0.00499414508785171,46.51247223967958,46.51247223967958,46.51247223967958,42.30409936454856,-0.9357465083389528,False,False,False,0.00030038051564153256,0.00030038051564153256,0.00030038051564153256,0.0009308433658355785,0.004234448432074977,False,False,False,0.002695984276104389,0.002695984276104389,0.002695984276104389,-0.0045205818091780614,0.04514322768641454,False,False,False,-0.002851711583822021,-0.002851711583822021,-0.002851711583822021,0.0001607595567951652,0.0012203348549003354,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
9,0.44906829,3.800817974,-0.00655424306555678,-0.017233371268957853,0.0028390809893608093,0.017465665351136556,-0.0017219319706782699,-0.003907840698957443,0.004270394436123219,46.32545101541183,46.32545101541183,46.32545101541183,42.270966470018884,-0.9840368732584049,False,False,False,0.00034125240279821563,0.00034125240279821563,0.00034125240279821563,0.00044130257288626726,0.005311477769162574,False,False,False,0.002596189718090822,0.002596189718090822,0.002596189718090822,-0.004863538693859642,0.04321644247507633,False,False,False,-0.0028467763680104863,-0.0028467763680104863,-0.0028467763680104863,0.00014652739406063,0.0013013943840395562,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
