step,experiment_time_s,reference_index,raw_u2,used_u2,baseline_u2,raw_sign_match_u2,used_sign_match_u2,raw_magnitude_ratio_u2,used_magnitude_ratio_u2,anchor_delta_u2,lateral_position_residual_x,lateral_position_residual_y,lateral_position_residual_norm,lateral_velocity_residual_x,lateral_velocity_residual_y,lateral_velocity_residual_norm,state_group_x,state_group_dx,state_group_theta,state_group_wb,reference_group_x,reference_group_dx,reference_group_theta,reference_group_wb,pred_error_x,pred_error_dx,pred_error_theta,pred_error_wb
0,0.0,0,0.0007955744541322154,0.0007955744541322154,0.001391437806691545,,,,,0.0,0.013836406171321869,0.007260227284859866,0.01562552514207499,0.0002827039861585945,-0.013063043355941772,0.0130661020684443,0.7590048455038377,0.01693624164597209,0.0013155995604645688,0.0016093528261085896,0.7500000000001795,0.0,3.804608880346683e-10,0.0,0.00020243488157185583,0.0055354080565013526,8.60015945780933e-05,0.001317840228464914
1,0.036235823,36,0.0008660389042917179,0.0008660389042917179,0.0013913611592569525,,,,,0.0,0.013836406171321869,0.007260227284859866,0.01562552514207499,0.0002827039861585945,-0.013063043355941772,0.0130661020684443,0.7590048455038377,0.01693624164597209,0.0013155995604645688,0.0016093528261085896,0.7500000000001795,0.0,3.804608880346683e-10,0.0,0.0005686057096115292,0.005460171269171034,8.84440250443686e-05,0.0011260773227394002
2,0.046138514,46,0.0010299739630319409,0.0010299739630319409,0.0018513698155029072,,,,,0.0,0.01431211456656456,0.007405652839224786,0.01611459950919003,0.000631686591077596,-0.012952866032719612,0.012968259960801554,0.7593116420925494,0.016985760121923425,0.0013224551629732165,0.0011721178752544135,0.7500000000001795,0.0,3.804608880346683e-10,0.0,0.001750365083741771,0.0056459973187857814,9.715718871213605e-05,0.00318649365348165
3,0.059974564,59,0.0007109354934973873,0.0007109354934973873,0.001728848785435382,,,,,0.0,0.015846190974116325,0.00783095060614869,0.017675563803853787,0.0017704381607472897,-0.012310847640037537,0.012437500588834078,0.7601672500266429,0.01687786565394614,0.0013585423269481917,0.001611787836749927,0.7500000000001795,0.0,3.804608880346683e-10,0.0,0.000191669601428308,0.004869806598497877,7.489447393077893e-05,0.0010835561360532215
4,0.079943727,79,0.0006909998034210319,0.0006909998034210319,0.0017287885421016255,,,,,0.0,0.015846190974116325,0.00783095060614869,0.017675563803853787,0.0017704381607472897,-0.012310847640037537,0.012437500588834078,0.7601672500266429,0.01687786565394614,0.0013585423269481917,0.001611787836749927,0.7500000000001795,0.0,3.804608880346683e-10,0.0,0.0002945704774921618,0.004764035385509936,7.804111283516314e-05,0.0017849351789673835
5,0.124905399,124,0.0009627312973496628,0.0009627312973496628,0.0023373529477818114,,,,,0.0,0.016101287677884102,0.00789294921560213,0.017931818429987985,0.001926296390593052,-0.012210376560688019,0.012361388010179568,0.7603084272002267,0.016830717185547864,0.0013639463099252925,0.0008171648488483709,0.7500000000001795,0.0,3.804608880346683e-10,0.0,0.00028899265574292737,0.0047108296418154755,7.197809407782865e-05,0.0013002206101100013
6,0.149261052,149,0.0009221505457400251,0.0009221505457400251,0.0023163139943626287,,,,,0.0,0.016352729871869087,0.007953024643938988,0.018184124264022737,0.002083082217723131,-0.012134372256696224,0.012311873195816846,0.7604482831959449,0.01677384278453804,0.0013748962137206178,0.000787045246136594,0.7500000000001795,0.0,3.804608880346683e-10,0.0,0.0008124440627724993,0.004858631253913755,6.600798296728874e-05,0.001827576665446832
7,0.197982334,197,0.0007685276960191124,0.0007685276960191124,0.0023014593263474183,,,,,0.0,0.017110750079154968,0.00809224060503766,0.01892781356314358,0.002611682750284672,-0.01181435864418745,0.012099584991297067,0.7608609352722413,0.01671204442089811,0.0013866583309867465,0.0006939319664897688,0.7500000000001795,0.0,3.804608880346683e-10,0.0,0.0012660404750209533,0.004955777944908978,8.715334748272664e-05,0.0012162943339793745
8,0.234766993,234,0.0007876570437808535,0.0007876570437808535,0.0028139919224129087,,,,,0.0,0.01832766830921173,0.008257515903096646,0.020101989815497816,0.003266892395913601,-0.011296115815639496,0.011759031356655993,0.7614244749425683,0.016634473185781023,0.0014127161407509687,0.0006753177581271002,0.7500000000001795,0.0,3.804608880346683e-10,0.0,0.0002136253182536091,0.004695626016743549,7.301389116940819e-05,0.0018617105987013866
9,0.250984303,250,0.0006558370683941693,0.0006558370683941693,0.002658998505172738,,,,,0.0,0.0185700673609972,0.00826191360829398,0.020325024434496672,0.003397331340238452,-0.011243092827498913,0.011745169073415839,0.7615243737442281,0.01664139373107327,0.001419586014966577,0.000944716463756936,0.7500000000001795,0.0,3.804608880346683e-10,0.0,0.0006726464428206664,0.0047092065111419956,7.339495582622158e-05,0.001655539585163012
