step,experiment_time_s,divergence_time_s,baseline_z_error_integral,lateral_position_residual_x,lateral_position_residual_y,lateral_position_residual_norm,lateral_velocity_residual_x,lateral_velocity_residual_y,lateral_velocity_residual_norm,learned_control_0,raw_control_0,used_control_0,baseline_control_0,control_internal_0,control_internal_near_lower_0,control_internal_near_upper_0,control_internal_near_bound_0,learned_control_1,raw_control_1,used_control_1,baseline_control_1,control_internal_1,control_internal_near_lower_1,control_internal_near_upper_1,control_internal_near_bound_1,learned_control_2,raw_control_2,used_control_2,baseline_control_2,control_internal_2,control_internal_near_lower_2,control_internal_near_upper_2,control_internal_near_bound_2,learned_control_3,raw_control_3,used_control_3,baseline_control_3,control_internal_3,control_internal_near_lower_3,control_internal_near_upper_3,control_internal_near_bound_3,u1_active_threshold_nm,u1_baseline_active,u1_raw_active,u1_used_active,u1_raw_overlap_active,u1_used_overlap_active,u1_raw_sign_match,u1_used_sign_match,u1_raw_magnitude_ratio,u1_used_magnitude_ratio,u1_anchor_applied,u1_anchor_delta,u1_anchor_sign_flip,u2_active_threshold_nm,u2_baseline_active,u2_raw_active,u2_used_active,u2_raw_overlap_active,u2_used_overlap_active,u2_raw_sign_match,u2_used_sign_match,u2_raw_magnitude_ratio,u2_used_magnitude_ratio,u2_anchor_applied,u2_anchor_delta,u2_anchor_sign_flip,u3_active_threshold_nm,u3_baseline_active,u3_raw_active,u3_used_active,u3_raw_overlap_active,u3_used_overlap_active,u3_raw_sign_match,u3_used_sign_match,u3_raw_magnitude_ratio,u3_used_magnitude_ratio,u3_anchor_applied,u3_anchor_delta,u3_anchor_sign_flip
0,0.0,5.160711232,0.00017734381650701166,0.013836406171321869,0.007260227284859866,0.01562552514207499,0.0002827039861585945,-0.013063043355941772,0.0130661020684443,49.73322790229998,49.73322790229998,49.73322790229998,42.92768488172447,-0.1041218257753036,False,False,False,0.00013854290226522284,0.00013854290226522284,0.00013854290226522284,0.004337056584056429,-3.0190897700248552e-05,False,False,False,0.0007955744541322154,0.0007955744541322154,0.0007955744541322154,0.001391437806691545,0.008451031104311935,False,False,False,-0.002950169039261077,-0.002950169039261077,-0.002950169039261077,0.0006866713828187203,-0.0003968011089379049,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
1,0.036235823,5.160711232,0.0004978130068174004,0.013836406171321869,0.007260227284859866,0.01562552514207499,0.0002827039861585945,-0.013063043355941772,0.0130661020684443,49.462577246675195,49.462577246675195,49.462577246675195,42.929353884413565,-0.1740059738284606,False,False,False,0.00016138413477793866,0.00016138413477793866,0.00016138413477793866,0.004336997042419158,0.0005717063774886085,False,False,False,0.0008660389042917179,0.0008660389042917179,0.0008660389042917179,0.0013913611592569525,0.0098115247343749,False,False,False,-0.0029577678356196703,-0.0029577678356196703,-0.0029577678356196703,0.0006866713540394722,-0.0005216091980619526,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
2,0.046138514,5.160711232,0.0005883297976417392,0.01431211456656456,0.007405652839224786,0.01611459950919003,0.000631686591077596,-0.012952866032719612,0.012968259960801554,49.29494819111832,49.29494819111832,49.29494819111832,42.93943862738154,-0.21728912682694304,False,False,False,0.00012181691051998208,0.00012181691051998208,0.00012181691051998208,0.004193935623395472,-0.00047094333304659793,False,False,False,0.0010299739630319409,0.0010299739630319409,0.0010299739630319409,0.0018513698155029072,0.012976703809145475,False,False,False,-0.002946514162953156,-0.002946514162953156,-0.002946514162953156,0.0008515449553926725,-0.0003367707953921996,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
3,0.059974564,5.160711232,0.0007261607128841727,0.015846190974116325,0.00783095060614869,0.017675563803853787,0.0017704381607472897,-0.012310847640037537,0.012437500588834078,49.11886682106033,49.11886682106033,49.11886682106033,42.965482297326695,-0.26275473453489,False,False,False,8.362400589961447e-05,8.362400589961447e-05,8.362400589961447e-05,0.0035249574381226592,-0.0014773778680371912,False,False,False,0.0007109354934973873,0.0007109354934973873,0.0007109354934973873,0.001728848785435382,0.006816862860067074,False,False,False,-0.002958720629070444,-0.002958720629070444,-0.002958720629070444,0.0007715838639143636,-0.0005372585620281894,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
4,0.079943727,5.160711232,0.0009250880088187306,0.015846190974116325,0.00783095060614869,0.017675563803853787,0.0017704381607472897,-0.012310847640037537,0.012437500588834078,49.0019634174472,49.0019634174472,49.0019634174472,42.966518310191816,-0.29294012147643816,False,False,False,8.799935547623721e-05,8.799935547623721e-05,8.799935547623721e-05,0.0035249272748695964,-0.0013620815070942403,False,False,False,0.0006909998034210319,0.0006909998034210319,0.0006909998034210319,0.0017287885421016255,0.006431954167834368,False,False,False,-0.0029623419300080656,-0.0029623419300080656,-0.0029623419300080656,0.0007715838442417008,-0.0005967374095770605,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
5,0.124905399,5.160711232,0.0013790631972106545,0.016101287677884102,0.00789294921560213,0.017931818429987985,0.001926296390593052,-0.012210376560688019,0.012361388010179568,48.99421082763525,48.99421082763525,48.99421082763525,42.972281075407295,-0.2949419017158517,False,False,False,8.862405795622063e-05,8.862405795622063e-05,8.862405795622063e-05,0.00371565632044257,-0.001345619754415333,False,False,False,0.0009627312973496628,0.0009627312973496628,0.0009627312973496628,0.0023373529477818114,0.011678414840422771,False,False,False,-0.0029603830702676502,-0.0029603830702676502,-0.0029603830702676502,0.0008492908020824651,-0.0005645636902765293,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
6,0.149261052,5.160711232,0.00162824196794264,0.016352729871869087,0.007953024643938988,0.018184124264022737,0.002083082217723131,-0.012134372256696224,0.012311873195816846,48.958670504722306,48.958670504722306,48.958670504722306,42.97638251992051,-0.304118695256482,False,False,False,6.611962605580248e-05,6.611962605580248e-05,6.611962605580248e-05,0.0035147838161905037,-0.0019386418793376247,False,False,False,0.0009221505457400251,0.0009221505457400251,0.0009221505457400251,0.0023163139943626287,0.010894901253882223,False,False,False,-0.002950026470504136,-0.002950026470504136,-0.002950026470504136,0.0009322154317554864,-0.0003944594572758741,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
7,0.197982334,5.160711232,0.002145928327627793,0.017110750079154968,0.00809224060503766,0.01892781356314358,0.002611682750284672,-0.01181435864418745,0.012099584991297067,48.932610387936066,48.932610387936066,48.932610387936066,42.99026931926345,-0.31084762430920526,False,False,False,7.774868742563329e-05,7.774868742563329e-05,7.774868742563329e-05,0.00335995097466811,-0.001632200431941627,False,False,False,0.0007685276960191124,0.0007685276960191124,0.0007685276960191124,0.0023014593263474183,0.007928825338944616,False,False,False,-0.002958717465985786,-0.002958717465985786,-0.002958717465985786,0.0008598081847121637,-0.0005372066092539228,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
8,0.234766993,5.160711232,0.0025564111803744434,0.01832766830921173,0.008257515903096646,0.020101989815497816,0.003266892395913601,-0.011296115815639496,0.011759031356655993,48.95753436591423,48.95753436591423,48.95753436591423,43.0082440054223,-0.30441205531684945,False,False,False,7.781373353732391e-05,7.781373353732391e-05,7.781373353732391e-05,0.0032381561093098804,-0.0016304863791922223,False,False,False,0.0007876570437808535,0.0007876570437808535,0.0007876570437808535,0.0028139919224129087,0.008298165562535337,False,False,False,-0.0029790230262576227,-0.0029790230262576227,-0.0029790230262576227,0.0007393456147146508,-0.0008707197153467165,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
9,0.250984303,5.160711232,0.002738906008485675,0.0185700673609972,0.00826191360829398,0.020325024434496672,0.003397331340238452,-0.011243092827498913,0.011745169073415839,48.933904932609764,48.933904932609764,48.933904932609764,43.0117465921623,-0.3105133625967071,False,False,False,5.6324718565915386e-05,5.6324718565915386e-05,5.6324718565915386e-05,0.0030233195783061616,-0.0021967508988753356,False,False,False,0.0006558370683941693,0.0006558370683941693,0.0006558370683941693,0.002658998505172738,0.005753049033240236,False,False,False,-0.0029616241825154033,-0.0029616241825154033,-0.0029616241825154033,0.0008881650894547745,-0.0005849486092453524,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
